reaction,direction,reaction_def
C00404_syn,forward,C00536 => C00404
C00862_syn,forward,C21070 => C00862
C01070_syn,forward,Z00025 + Z00015 => C01070
C01071_syn,forward,Z00025 + Z00015 => C01071
C04253_syn,forward,C00017 + Z00017 => C04253
C04570_syn,forward,C00017 + Z00017 => C04570
C11903_syn,forward,C04217 + C21476 => C11903
C11904_syn,forward,C04217 + C21476 => C11904
C18233_syn,forward,Z00025 + Z00015 => C18233
C18234_syn,forward,Z00025 + Z00015 => C18234
CO1_SYN,forward,C11545 => C05773
CoP_syn,forward,Z00025 + Z00006 => C06021
FeCYT_syn1,forward,Z00015 + Z00025 + C00017 => C00125
FeCYT_syn2,forward,Z00015 + Z00025 + C00017 => C00126
FeCYT_syn3,forward,Z00015 + Z00025 + C00017 => C18233
FeCYT_syn4,forward,Z00015 + Z00025 + C00017 => C18234
FeCYT_syn5,forward,Z00015 + Z00025 + C00017 => C00999
FeCYT_syn6,forward,Z00015 + Z00025 + C00017 => C00996
FeCYT_syn7,forward,Z00015 + Z00025 + C00017 => C00924
FeS_C00138_syn,forward,C00041 + C00065 + C00037 + C00049 + C00097 + C00023 => C00138
FeS_C00139_syn,forward,C00041 + C00065 + C00037 + C00049 + C00097 + C00023 => C00139
FeS_C22150_syn,forward,C00041 + C00065 + C00037 + C00049 + C00097 + C00023 => C22150
FeS_C22151_syn,forward,C00041 + C00065 + C00037 + C00049 + C00097 + C00023 => C22151
FeS_C22154_syn,forward,C00041 + C00065 + C00037 + C00049 + C00097 + C00023 => C22154
H4MPT_syn,forward,C20562 => C05927
LAO_FM,forward,C00049 + C00122 => C05840 + C00042
LAO_FM,reverse,C05840 + C00042 => C00049 + C00122
LipoylLysine_Syn,forward,C00017 + C00047 + C00017 + C00047 => C22158 + C22157
MOPTERIN_SYN,forward,C19848 + C06232 => C18237 + C00020 + C00001
MeCobamineCofactor_Synthesis,forward,C22450 + C06021 => MeCobamineCofactor
Methanofuran_syn,forward,C21070 => C21621
PolyPren,forward,C00235 => C05847
QUIN_SYN1,forward,C00472 => C15602
QUIN_SYN2,forward,C02351 => C15602
R00002_v1,forward,6C00002 + 6C00001 + 8C00138 + Z00015 + C01251 + Z00002 + Z00064 + Z00029 => 8C05359 + 6C00009 + 6C00008 + 8C00139 + Z00015 + C01251 + Z00002 + Z00064 + Z00029
R00002_v1,reverse,8C05359 + 6C00009 + 6C00008 + 8C00139 + Z00015 + C01251 + Z00002 + Z00064 + Z00029 => 6C00002 + 6C00001 + 8C00138 + Z00015 + C01251 + Z00002 + Z00064 + Z00029
R00004_v1,forward,C00013 + C00001 + Z00030 => 2C00009 + Z00030
R00004_v1,reverse,2C00009 + Z00030 => C00013 + C00001 + Z00030
R00004_v2,forward,C00013 + C00001 + Z00029 => 2C00009 + Z00029
R00004_v2,reverse,2C00009 + Z00029 => C00013 + C00001 + Z00029
R00005,forward,C01010 + C00001 => 2C00011 + 2C00014
R00006_v1,forward,C00900 + C00011 + Z00029 + Z00047 + Z00013 => 2C00022 + Z00029 + Z00047 + Z00013
R00006_v1,reverse,2C00022 + Z00029 + Z00047 + Z00013 => C00900 + C00011 + Z00029 + Z00047 + Z00013
R00008_v1,forward,C06033 + Z00069 => 2C00022 + Z00069
R00008_v1,reverse,2C00022 + Z00069 => C06033 + Z00069
R00008_v2,forward,C06033 + Z00029 => 2C00022 + Z00029
R00008_v2,reverse,2C00022 + Z00029 => C06033 + Z00029
R00008_v3,forward,C06033 + Z00054 => 2C00022 + Z00054
R00008_v3,reverse,2C00022 + Z00054 => C06033 + Z00054
R00010_v1,forward,C01083 + C00001 + Z00055 => 2C00031 + Z00055
R00010_v1,reverse,2C00031 + Z00055 => C01083 + C00001 + Z00055
R00010_v2,forward,C01083 + C00001 + Z00029 => 2C00031 + Z00029
R00010_v2,reverse,2C00031 + Z00029 => C01083 + C00001 + Z00029
R00011_v1,reverse,2C19611 + 2C00001 + Z00025 + Z00055 + 2C19611 + 2C00001 + Z00025 => 2C19610 + 2C00080 + C00027 + Z00025 + Z00055 + 2C19610 + 2C00080 + C00027 + Z00025
R00012,forward,2C00044 => C00013 + C01261
R00012,reverse,C00013 + C01261 => 2C00044
R00013_v1,forward,2C00048 + Z00029 + Z00047 + Z00019 + Z00013 => C01146 + C00011 + Z00029 + Z00047 + Z00019 + Z00013
R00013_v1,reverse,C01146 + C00011 + Z00029 + Z00047 + Z00019 + Z00013 => 2C00048 + Z00029 + Z00047 + Z00019 + Z00013
R00014_v1,forward,C00022 + C00068 + Z00029 + Z00047 + Z00013 => C05125 + C00011 + Z00029 + Z00047 + Z00013
R00014_v1,reverse,C05125 + C00011 + Z00029 + Z00047 + Z00013 => C00022 + C00068 + Z00029 + Z00047 + Z00013
R00015,forward,2C00089 => C00031 + C03661
R00015,reverse,C00031 + C03661 => 2C00089
R00017_v1,reverse,2C00125 + 2C00001 + Z00025 => 2C00126 + C00027 + Z00025
R00018_v1,forward,2C00134 + Z00032 => C06366 + C00014 + Z00032
R00018_v1,reverse,C06366 + C00014 + Z00032 => 2C00134 + Z00032
R00019_v1,forward,2C00138 + 2C00080 + Z00032 + Z00002 => 2C00139 + C00282 + Z00032 + Z00002
R00019_v1,reverse,2C00139 + C00282 + Z00032 + Z00002 => 2C00138 + 2C00080 + Z00032 + Z00002
R00021_v1,forward,2C00025 + 2C00139 + Z00067 + Z00013 => 2C00138 + 2C00080 + C00064 + C00026 + Z00067 + Z00013
R00021_v1,reverse,2C00138 + 2C00080 + C00064 + C00026 + Z00067 + Z00013 => 2C00025 + 2C00139 + Z00067 + Z00013
R00021_v2,forward,2C00025 + 2C00139 + Z00067 + Z00014 => 2C00138 + 2C00080 + C00064 + C00026 + Z00067 + Z00014
R00021_v2,reverse,2C00138 + 2C00080 + C00064 + C00026 + Z00067 + Z00014 => 2C00025 + 2C00139 + Z00067 + Z00014
R00022,forward,C01674 + C00001 => 2C00140
R00022,reverse,2C00140 => C01674 + C00001
R00023,forward,2C00192 + 2C00003 => 2C00004 + 2C00080 + C01818
R00023,reverse,2C00004 + 2C00080 + C01818 => 2C00192 + 2C00003
R00024_v1,forward,C01182 + C00011 + C00001 + Z00029 => 2C00197 + Z00029
R00024_v1,reverse,2C00197 + Z00029 => C01182 + C00011 + C00001 + Z00029
R00025,forward,C18091 + C00007 + C01847 => C00084 + C00088 + C00061 + C00001
R00026,forward,C00185 + C00001 => 2C00221
R00026,reverse,2C00221 => C00185 + C00001
R00027_v1,forward,C01408 + Z00047 => 2C00261 + Z00047
R00027_v1,reverse,2C00261 + Z00047 => C01408 + Z00047
R00028_v1,forward,C00208 + C00001 + Z00032 + Z00034 => 2C00031 + Z00032 + Z00034
R00028_v1,reverse,2C00031 + Z00032 + Z00034 => C00208 + C00001 + Z00032 + Z00034
R00028_v2,forward,C00208 + C00001 + Z00030 => 2C00031 + Z00030
R00028_v2,reverse,2C00031 + Z00030 => C00208 + C00001 + Z00030
R00029_v1,forward,2C00320 + 2C00125 + Z00025 => 2C00126 + C02084 + Z00025
R00029_v1,reverse,2C00126 + C02084 + Z00025 => 2C00320 + 2C00125 + Z00025
R00031_v1,forward,2C00082 + C00007 + Z00070 + 2C00082 + C00007 + Z00070 + Z00046 => 2C00355 + Z00070 + 2C00355 + Z00070 + Z00046
R00032_v1,forward,C02094 + C00007 + Z00015 => 2C00376 + Z00015
R00033_v1,forward,C00378 + C00007 + Z00019 + Z00013 => C00027 + C05856 + Z00019 + Z00013
R00034_v1,reverse,2C08249 + Z00046 + Z00019 + Z00013 => C03103 + Z00046 + Z00019 + Z00013
R00036_v1,forward,2C00430 + Z00026 => 2C00001 + C00931 + Z00026
R00036_v2,forward,2C00430 + Z00029 => 2C00001 + C00931 + Z00029
R00036_v3,forward,2C00430 + Z00033 => 2C00001 + C00931 + Z00033
R00036_v4,forward,2C00430 + Z00054 => 2C00001 + C00931 + Z00054
R00038_v1,forward,2C00479 + Z00047 => C02948 + Z00047
R00038_v1,reverse,C02948 + Z00047 => 2C00479 + Z00047
R00039,forward,2C00492 => C08242 + C00089
R00039,reverse,C08242 + C00089 => 2C00492
R00042_v1,forward,2C01179 + C00007 + Z00047 => 2C00642 + 2C00011 + Z00047
R00043_v1,forward,C04547 + C00007 + Z00015 => 2C00755 + Z00015
R00044_v1,forward,2C01795 + C00007 + Z00015 => 2C00757 + 2C00001 + Z00015
R00045_v1,forward,2C00355 + C00007 + Z00070 + 2C00355 + C00007 + Z00070 + Z00046 => 2C00822 + 2C00001 + Z00070 + 2C00822 + 2C00001 + Z00070 + Z00046
R00048,forward,C04546 + C00001 => 2C01089
R00049,forward,2C01158 => C00031 + C04101
R00049,reverse,C00031 + C04101 => 2C01158
R00052_v1,reverse,2C00001 + C01334 + Z00025 => C00027 + C01371 + C01327 + Z00025
R00052_v2,reverse,2C00001 + C01334 + Z00062 => C00027 + C01371 + C01327 + Z00062
R00053,forward,C01572 + C00001 => 2C01424
R00054,forward,C02868 + C00001 => 2C01839
R00055,forward,2C00294 + C00007 => 2C01993 + 2C00001
R00056,forward,C01910 + C00001 => 2C02171
R00058_v1,forward,2C00090 + C00007 + Z00070 + 2C00090 + C00007 + Z00070 + Z00046 => 2C02351 + 2C00001 + Z00070 + 2C02351 + 2C00001 + Z00070 + Z00046
R00059,forward,C01255 + C00001 => 2C02378
R00059,reverse,2C02378 => C01255 + C00001
R00060,forward,2C00495 + C00007 => 2C03036 + 2C00001
R00061,forward,2C00495 + C00007 => 2C03040 + 2C00001
R00062,forward,2C03374 => C00486 + C05787
R00062,reverse,C00486 + C05787 => 2C03374
R00063,forward,2C01175 => C04275 + C00031
R00063,reverse,C04275 + C00031 => 2C01175
R00066_v1,forward,2C04332 + Z00029 => C00255 + C04732 + Z00029
