,name,Unmodified,Unmodified+Adenine,Modified (Primitive purine biosynthesis)
Z00070,Cu,0.0,0,0
Z00069,M2,0.0,0,0
C00071,Aldehyde,0.0,0,0
C00080,H+,0.0,0,0
C00069,Alcohol,0.0,0,0
Z00067,3Fe4S,0.0,0,0
C00011,CO2,0.0,0,0
Z00064,Mo,0.0,0,0
Z00060,M1,0.0,0,0
C00036,Oxaloacetate,0.0,0,0
C00001,H2O,0.0,0,0
C00009,Orthophosphate,0.0,0,0
Z00001,2Fe2S,0.0,0,0
Z00034,Ni,0.0,0,0
C00150,Molybdenum,0.0,0,0
C00209,Oxalate,0.0,0,0
Z00062,V,0.0,0,0
C01127,4-Hydroxy-2-oxoglutarate,0.0,0,0
C00058,Formate,0.0,0,0
Z00063,Generic FeS,0.0,0,0
C00030,Reduced acceptor,0.0,0,0
C00014,Ammonia,0.0,0,0
C17023,Sulfur donor,0.0,0,0
C01528,Hydrogen selenide,0.0,0,0
C00238,Potassium cation,0.0,0,0
C00175,Cobalt ion,0.0,0,0
C00042,Succinate,0.0,0,0
Z00006,Co,0.0,0,0
C19806,"Propane-1,2,3-tricarboxylate",0.0,0,0
C00161,2-Oxo acid,0.0,0,0
Z00002,4Fe4S,0.0,0,0
C01330,Sodium cation,0.0,0,0
C20679,Tungstate,0.0,0,0
C00012,Peptide,0.0,0,0
C22155,[Fe-S] cluster scaffold protein,0.0,0,0
C14818,Fe2+,0.0,0,0
Z00029,Mg,0.0,0,0
C00205,hn,0.0,0,0
C01732,Mesaconate,0.0,0,0
Z00053,W,0.0,0,0
C00022,Pyruvate,0.0,0,0
C00048,Glyoxylate,0.0,0,0
C00026,2-Oxoglutarate,0.0,0,0
C00149,(S)-Malate,0.0,0,0
C00038,Zinc cation,0.0,0,0
C00383,Malonate,0.0,0,0
Z00015,Fe,0.0,0,0
C00417,cis-Aconitate,0.0,0,0
C00122,Fumarate,0.0,0,0
C00023,Iron,0.0,0,0
C00028,Acceptor,0.0,0,0
C00283,Hydrogen sulfide,0.0,0,0
Z00055,Ca,0.0,0,0
C00288,HCO3-,0.0,0,0
Z00030,Mn,0.0,0,0
C00282,Hydrogen,0.0,0,0
C00160,Glycolate,0.0,0,0
C00305,Magnesium cation,0.0,0,0
C01335,ROH,0.0,0,0
C06232,Molybdate,0.0,0,0
C19609,Nickel(2+),0.0,0,0
Z00033,Na,0.0,0,0
C14819,Fe3+,0.0,0,0
C00033,Acetate,0.0,0,0
Z00054,Zn,0.0,0,0
C00070,Copper,0.0,0,0
C00311,Isocitrate,0.0,0,0
C01353,Carbonic acid,1.0,1,1
C02218,Dehydroalanine,1.0,1,1
C05167,alpha-Amino acid,1.0,1,1
C00158,Citrate,1.0,1,1
Z00042,Se,1.0,1,1
C00049,L-Aspartate,1.0,1,1
C06029,L-threo-3-Methylmalate,1.0,1,1
Z00039,Pyruvoyl,1.0,1,1
C02614,(S)-2-Methylmalate,1.0,1,1
C01417,Cyanate,1.0,1,1
C01563,Carbamate,1.0,1,1
C05946,(4R)-4-Hydroxy-2-oxoglutarate,1.0,1,1
C20485,(4S)-4-Hydroxy-2-oxoglutarate,1.0,1,1
C00074,Phosphoenolpyruvate,1.0,1,1
C19813,threo-3-Hydroxy-D-aspartate,1.0,1,1
C01444,Oxamate,1.0,1,1
C01883,Acetic ester,1.0,1,1
C00940,2-Oxoglutaramate,1.0,1,1
C00013,Diphosphate,1.0,1,1
C01990,3-Oxalomalate,1.0,1,1
Z00043,Selenide,1.0,1,1
C03600,Carboxymethyloxysuccinate,1.0,1,1
C00375,RCH2NH2,1.0,1,1
C03961,erythro-3-Hydroxy-Ls-aspartate,1.0,1,1
C04115,4-Carboxy-4-hydroxy-2-oxoadipate,1.0,1,1
C00490,Itaconate,1.0,1,1
C03981,2-Hydroxyethylenedicarboxylate,1.0,1,1
C00898,"(R,R)-Tartaric acid",1.0,1,1
C06033,Parapyruvate,1.0,1,1
C02341,trans-Aconitate,1.0,1,1
C02107,"(S,S)-Tartaric acid",1.0,1,1
C05379,Oxalosuccinate,1.0,1,1
Z00026,K,1.0,1,1
C06244,Acetamide,1.0,1,1
C00084,Acetaldehyde,1.0,1,1
C03248,Acetylenedicarboxylate,1.0,1,1
C05684,Selenite,1.0,1,1
C02362,2-Oxosuccinamate,1.0,1,1
C01384,Maleic acid,1.0,1,1
C00631,2-Phospho-D-glycerate,2.0,2,2
C05840,Iminoaspartate,2.0,2,2
C01042,N-Acetyl-L-aspartate,2.0,2,2
C05364,4-Carboxy-2-oxo-3-hexenedioate,2.0,2,2
C00497,(R)-Malate,2.0,2,2
C21632,2-Hydroxyparaconate,2.0,2,2
C06035,4-Methylene-2-oxoglutarate,2.0,2,2
C00222,3-Oxopropanoate,2.0,2,2
C00552,meso-Tartaric acid,2.0,2,2
C01596,Maleamate,2.0,2,2
C00037,Glycine,2.0,2,2
C02612,(R)-2-Methylmalate,2.0,2,2
C00186,(S)-Lactate,2.0,2,2
C00099,beta-Alanine,2.0,2,2
C04324,"(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate",2.0,2,2
C00227,Acetyl phosphate,2.0,2,2
C04434,"(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate",2.0,2,2
C02512,3-Cyano-L-alanine,2.0,2,2
C02798,3-Phosphonopyruvate,2.0,2,2
C00152,L-Asparagine,2.0,2,2
C03548,"trans-2,3-Epoxysuccinate",3.0,3,3
C19779,beta-Alaninamide,3.0,3,3
C01073,N-Acetyl-beta-alanine,3.0,3,3
C00258,D-Glycerate,3.0,3,3
C03722,Quinolinate,3.0,3,3
C02226,2-Methylmaleate,3.0,3,3
C00804,Propynoate,3.0,3,3
C05669,beta-Nitropropanoate,3.0,3,3
C07272,Maleimide,3.0,3,3
C20253,Aminoacrylate,3.0,3,3
C19838,D-erythro-3-Hydroxyaspartate,3.0,3,3
C01159,"2,3-Bisphospho-D-glycerate",3.0,3,3
C05670,3-Aminopropiononitrile,3.0,3,3
C00256,(R)-Lactate,3.0,3,3
C18232,N-Formylmaleamic acid,3.0,3,3
C00197,3-Phospho-D-glycerate,3.0,3,3
C06031,D-threo-3-Methylmalate,4.0,4,4
C06032,D-erythro-3-Methylmalate,4.0,4,4
C00354,"D-Fructose 1,6-bisphosphate",4.0,4,4
C01182,"D-Ribulose 1,5-bisphosphate",4.0,4,4
C00111,Glycerone phosphate,5.0,5,5
C00118,D-Glyceraldehyde 3-phosphate,5.0,5,5
C00085,D-Fructose 6-phosphate,5.0,5,5
C01151,"D-Ribose 1,5-bisphosphate",5.0,5,5
C01097,D-Tagatose 6-phosphate,6.0,6,6
C21610,3-Dehydro-4-phospho-D-erythronate,6.0,6,6
C03785,"D-Tagatose 1,6-bisphosphate",6.0,6,6
C00546,Methylglyoxal,6.0,6,6
C00184,Glycerone,6.0,6,6
C21611,3-Dehydro-4-phospho-L-erythronate,6.0,6,6
C00352,D-Glucosamine 6-phosphate,6.0,6,6
C06019,D-arabino-Hex-3-ulose 6-phosphate,6.0,6,6
C01286,2-Dehydro-3-deoxy-6-phospho-D-galactonate,6.0,6,6
C00092,D-Glucose 6-phosphate,6.0,6,6
C20954,(5-Formylfuran-3-yl)methyl phosphate,6.0,6,6
C00275,D-Mannose 6-phosphate,6.0,6,6
C00673,2-Deoxy-D-ribose 5-phosphate,6.0,6,6
C22280,5-Deoxy-D-ribulose 1-phosphate,6.0,6,6
C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate,6.0,6,6
