Molecule,KEGG Compound,Notes,Reference:,"Foster, K.; Hillman, B.; Rajaei, V.; Seng, K.; Maurer, S. Evolution of Realistic Organic Mixtures for the Origins of Life through Wet–Dry Cycling. Sci 2022, 4, 22."
2-methylbutanoic acid,C18319,,Context:,"""developed to model the organic composition of the Murchison Meteorite from commercially available chemicals"""
3-methylbutanoic acid,C08262,,Notes:,"via HMDB: given molecule name has no synonym in KEGG, but HMDB states that this compound is synonmyous with a KEGG Compound"
2-ethylhexanoic acid,-,,,Chirality:  used the most bio-relevant one and did not include stereoisomers
2-hexanone,-,,,
2-hydroxyisobutyric acid,-,,,
2-methylheptanoic acid,-,,,
2-methylhexanoic acid,-,,,
2-pentanone,C01949,,,
2-propylpentanoic acid,C07185,,,
2-pyrrolidone,C11118 ,via HMDB,,
"2,2-dimethylhexanoic acid",-,,,
3-pentanone (diethyl ketone),-,,,
4-methyloctanoic acid,-,,,
4-methylpentanoic acid,-,,,
acetamide,C06244,,,
acetone,C00207,,,
adipic acid,C06104,,,
alanine,C00041,,,
alpha-aminobutyric acid,C02356,,,
alpha-aminoisobutyric acid,C03665,,,
ammonia,C00014,,,
aspartic acid,C00049,,,
benzaldehyde,C00261,,,
benzoic acid,C00180,,,
beta-alanine,C00099,,,
butyraldehyde,C01412,,,
cyclohexanone,C00414,,,
D-2-hydroxy-3-methylbutyric acid,-,,,
"D,L-2-hydroxycaproic acid",-,,,
decanoic acid,C01571,,,
erythronic/threonic acid,C01620,,,
ethanol,C00469,,,
ethylamine,C00797,,,
ethylsulfonic acid,-,,,
formaldehyde,C00067,,,
formic acid,C00058,,,
glutamic acid,C00025,,,
glutarimide,C07275,,,
glyceric acid,C00258,,,
glycerol,C00116,,,
glycine,C00037,,,
glycolic acid,C00160,,,
hexanal,-,HMDB association is for isohexanal,,
hexanoamide,-,,,
iminodiacetic,C19911,,,
isovaline,-,,,
L-lactic acid,C00186,,,
lactamide,-,,,
malonic acid,C00383,,,
methanol,C00132,,,
methyl nicotinic acid,	C01004,,,
methyl phosphonic acid,C20396,,,
methyl succinic acid,-,,,
methyl sulfonic acid,C11145,,,
methylamine,C00218,,,
N-acetyl-glutamic acid,C00624,,,
N-acetyl-glycine,-,,,
N-propyl sulfonic acid,-,,,
nicotinic acid,C00253,,,
nonanoic acid,C01601,,,
octanoic acid,C06423,,,
parabanic acid,-,,,
phosphoric acid,C00009,,,
proline,C00148,,,
propionaldehyde,C00479,,,
pyroglutamic acid,C01879,,,
bicarbonate,C00288,,,
triphosphate,C00536,,,
succinic acid,C00042,,,
succinimide,C07273,,,
sulfuric acid,C00059,,,
urea,C00086,,,
valine,C00183,,,
