,reactions,step,module
0,R01523,C00199 -> C01182,M00165
1,R00024,C01182 + C00011 -> C00197,M00165
2,R01512,C00197 -> C00236,M00165
3,"R01061,R01063",C00236 -> C00118,M00165
4,R01068,C00118 -> C00354,M00165
5,R00762,C00354 -> C00085,M00165
6,R01067,C00085 -> C00279,M00165
7,R01829,C00279 -> C00447,M00165
8,R01845,C00447 -> C05382,M00165
9,R01641,C05382 -> C00117,M00165
10,R01056,C00117 -> C00199,M00165
0,"R01196,R10866",C00024 -> C00022,M00173
1,"R00199,R00206",C00022 -> C00074,M00173
2,R00345,C00074 -> C00036,M00173
3,R00344,C00022 -> C00036,M00173
4,R00342,C00036 -> C00149,M00173
5,R01082,C00149 -> C00122,M00173
6,"R02164,R00402",C00122 -> C00042,M00173
7,R00405,C00042 -> C00091,M00173
8,R01197,C00091 -> C00026,M00173
9,R00267,C00026 -> C00311,M00173
10,R01900,C00311 -> C00417,M00173
11,R01325,C00417 -> C00158,M00173
12,R00352,C00158 -> C00024,M00173
13,R01322,C00158 -> C00566,M00173
14,R00354,C00566 -> C00036 + C00024,M00173
0,R01196,C00024 -> C00022,M00374
1,R00199,C00022 -> C00074,M00374
2,R00345,C00074 -> C00036,M00374
3,R00342,C00036 -> C00149,M00374
4,R01082,C00149 -> C00122,M00374
5,R02164,C00122 -> C00042,M00374
6,R00405,C00042 -> C00091,M00374
7,R09280,C00091 -> C00232,M00374
8,R09281,C00232 -> C00989,M00374
9,R09279,C00989 -> C11062,M00374
10,R10782,C11062 -> C00877,M00374
11,R03026,C00877 -> C01144,M00374
12,R01975,C01144 -> C00332,M00374
13,R00238,C00332 -> C00024,M00374
0,R00742,C00024 -> C00083,M00375
1,R00740,C00083 -> C00222,M00375
2,R09289,C00222 -> C01013,M00375
3,R09286,C01013 -> C05668,M00375
4,R03045,C05668 -> C00894,M00375
5,R00919,C00894 -> C00100,M00375
6,R01859,C00100 -> C00683,M00375
7,R02765,C00683 -> C01213,M00375
8,R00833,C01213 -> C00091,M00375
9,R09280,C00091 -> C00232,M00375
10,R09281,C00232 -> C00989,M00375
11,R09279,C00989 -> C11062,M00375
12,R10782,C11062 -> C00877,M00375
13,R03026,C00877 -> C01144,M00375
14,R01975,C01144 -> C00332,M00375
15,R00238,C00332 -> C00024,M00375
0,R00742,C00024 -> C00083,M00376
1,R00740,C00083 -> C00222,M00376
2,R09289,C00222 -> C01013,M00376
3,R09286,C01013 -> C05668,M00376
4,R03045,C05668 -> C00894,M00376
5,R00919,C00894 -> C00100,M00376
6,R01859,C00100 -> C00683,M00376
7,R02765,C00683 -> C01213,M00376
8,R00833,C01213 -> C00091,M00376
9,R00406,C00091 -> C00042,M00376
10,R02164,C00042 -> C00122,M00376
11,R01082,C00122 -> C00149,M00376
12,R00406,C00149 -> C04348,M00376
13,R00473,C04348 -> C00024 + C00048,M00376
14,R00934,C00100 -> C06027,M00376
15,R05076,C06027 -> C06028,M00376
16,R09283,C06028 -> C18323,M00376
17,R09282,C18323 -> C01011,M00376
18,R00237,C01011 -> C00024 + C00022,M00376
0,R07157,C00011 -> C00237,M00377
1,"R00134,R12754",C00011 -> C00058,M00377
2,R00943,C00058 + C00101 -> C00234,M00377
3,R01655,C00234 -> C00445,M00377
4,R01220,C00445 -> C00143,M00377
5,R07168,C00143 -> C00440,M00377
6,R02289,C00237 + C00440 -> C00101 + C00024,M00377
7,R08433,C00237 + C00440 -> C00101 + C00024,M00377
0,"R01142,R09518",C01438 -> C00132,M00174
1,R01146,C00132 -> C00067,M00174
0,R09098,C00132 -> C03920,M00356
1,R04541,C03920 + C04628 -> C01438 + C04832,M00356
2,"R11931,R04540,R11928,R11943,R11944",C04832 -> C04628,M00356
0,R00315,C00033 -> C00227,M00357
1,R00230,C00227 -> C00024,M00357
2,R00235,C00033 -> C00024,M00357
3,R09096,C00024 -> C04488,M00357
4,R04347,C04488 + C03576 -> C03920,M00357
5,R04541,C03920 + C04628 -> C01438 + C04832,M00357
6,"R11931,R04540,R11928,R11943,R11944",C04832 -> C04628 + C03576,M00357
0,R00315,C00033 -> C00227,M00357.v1
1,R00230,C00227 -> C00024,M00357.v1
2,R09096,C00024 -> C04488,M00357.v1
3,R04347,C04488 + C03576 -> C03920,M00357.v1
4,R04541,C03920 + C04628 -> C01438 + C04832,M00357.v1
5,"R11931,R04540,R11928,R11943,R11944",C04832 -> C04628 + C03576,M00357.v1
0,R00235,C00033 -> C00024,M00357.v2
1,R09096,C00024 -> C04488,M00357.v2
2,R04347,C04488 + C03576 -> C03920,M00357.v2
3,R04541,C03920 + C04628 -> C01438 + C04832,M00357.v2
4,"R11931,R04540,R11928,R11943,R11944",C04832 -> C04628 + C03576,M00357.v2
0,R10014,C00218 -> C03920,M00563
1,R10015,C00543 -> C03920,M00563
2,R10016,C00543 -> C03920,M00563
3,R10000,"C00218,C00543,C00543 -> C03920",M00563
4,R04541,C03920 + C04628 -> C01438 + C04832,M00563
5,"R11931,R04540,R11928,R11943,R11944",C04832 -> C04628,M00563
0,R03015,C00011 -> C01001,M00567
1,R03390,C01001 -> C01274,M00567
2,R03464,C01274 -> C04330,M00567
3,"R04456,R04455",C04330 -> C04377,M00567
4,R04464,C04377 -> C04488,M00567
5,R04347,C04488 + C03576 -> C03920,M00567
6,R04541,C03920 + C04628 -> C01438 + C04832,M00567
7,"R11931,R04540,R11928,R11943,R11944",C04832 -> C04628 + C03576,M00567
0,"R05185,R12084",C00697 -> C00014,M00175
0,R03215,1.17.2.3 ,ReductiveGlycineModule
1,R00943,6.3.4.3,ReductiveGlycineModule
2,R01655,3.5.4.9,ReductiveGlycineModule
3,R01220,1.5.1.5,ReductiveGlycineModule
4,R01221,1.4.1.27,ReductiveGlycineModule
5,R07226,1.21.4.2,ReductiveGlycineModule
6,R00315,2.7.2.1/2.7.2.15,ReductiveGlycineModule
7,R00235,6.2.1.1,ReductiveGlycineModule
8,R01196,1.2.7.1,ReductiveGlycineModule
0,R00148,C00014 -> C00192,M00528
1,R10164,C00192 -> C00088,M00528
0,R03071,C00244 -> C00088,M00529
1,"R00783,R00785",C00088 -> C00533,M00529
2,R00294,C00533 -> C00887,M00529
3,R02804,C00887 -> C00697,M00529
0,"R09497,R03071",C00244 -> C00088,M00530
1,"R00787,R00789,R05712",C00088 -> C00014,M00530
0,"R00791,R00794,R00796",C00244 -> C00088,M00531
1,"R00790,R00787,R00789",C00088 -> C00014,M00531
0,R00148,C00014 -> C00192,M00804
1,R10164,C00192 -> C00088,M00804
2,R00798,C00088 -> C00244,M00804
0,R10151,C00320 -> C00059,M00595
0,R00529,C00059 -> C00224,M00596
1,R08553,C00224 -> C00094,M00596
2,R00861,C00094 -> C00283,M00596
0,R00529,C00059 -> C00224,M00176
1,R00509,C00224 -> C00053,M00176
2,R02021,C00053 -> C00094,M00176
3,"R00858,R00859",C00094 -> C00283,M00176
0,"R00783,R00785",C00088 -> C00533,Anammox
1,R09799,"C00014,C00533 -> C05361",Anammox
2,R07174,C05361 -> C00697,Anammox
0,R00586,C00065 -> C00979,M00021
1,R00897,C00979 + C00283 -> C00097,M00021
0,R01290,C00065 + C00155 -> C02291,M00338
1,R01001,C02291 -> C00097,M00338
0,R00177,C00073 -> C00019,M00609
1,R10404,C00019 -> C00021,M00609
2,R00194,C00021 -> C03539,M00609
3,R01291,C03539 -> C00155,M00609
4,R10305,C00155 -> C02291,M00609
5,R01001,C02291 -> C00097,M00609
