Supplementary Dataset 1 - Spreadsheet F - Features of reaction sets pre and post ammonia for 144 expansion simulations - Data for generating Extended Data Fig.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Redox Potential,pH,"Seed (0=CO2, 1=Formate/Acetate)","Thioester (0=No RSH, 1=RSH)",T,CoenzymeStoich,PPE reaction proportion (pre-ammonia),PPE reaction proportion (post-ammonia),Nitrogen-containg coenzymes (pre-ammonia),Nitrogen-containg coenzymes (post-ammonia),Active Site Nitrogen (pre-ammonia),Active Site Nitrogen (post-ammonia),Whole enzyme nitrogen (pre-ammonia),Whole enzyme nitrogen (post-ammonia)
-600,5,0,1,150,1,0.145739910313901,0.112,0.0739910313901345,0.372,0.350499615680246,0.461904761904762,0.20570771454496,0.203136295845567
-400,5,0,1,150,1,0.127737226277372,0.116363636363636,0.072992700729927,0.349090909090909,0.358273381294964,0.46513249651325,0.206026328440887,0.202983821783322
-200,5,0,1,150,1,0.128113879003559,0.115107913669065,0.0765124555160142,0.345323741007194,0.358156028368794,0.46513249651325,0.206419309062737,0.202954392763158
0,5,0,1,150,1,0.128571428571429,0.114695340501792,0.0767857142857143,0.347670250896057,0.358156028368794,0.46513249651325,0.206425257972426,0.20295413207531
-600,5,1,1,50,1,0.148717948717949,0.111627906976744,0.0846153846153846,0.395348837209302,0.361328125,0.46671388101983,0.203458441510107,0.20335363656462
-400,5,1,1,50,1,0.146987951807229,0.112,0.0891566265060241,0.368,0.36397400185701,0.465116279069767,0.203377231463234,0.203284282898099
-200,5,1,1,50,1,0.143529411764706,0.111553784860558,0.0894117647058824,0.366533864541833,0.363051470588235,0.465116279069767,0.203347333300144,0.203284282898099
0,5,1,1,50,1,0.150851581508516,0.12621359223301,0.097323600973236,0.407766990291262,0.361721611721612,0.470541401273885,0.203989229294367,0.203385412312321
200,5,1,1,50,1,0.14621409921671,0.127450980392157,0.10443864229765,0.411764705882353,0.360777058279371,0.470541401273885,0.203868574771849,0.203385412312321
400,5,1,1,50,1,0.169230769230769,0.164285714285714,0.123076923076923,0.464285714285714,0.363899613899614,0.471807628524046,0.205299162499062,0.203695994861334
600,5,1,1,50,1,0.177685950413223,0.164285714285714,0.12396694214876,0.464285714285714,0.3625,0.471807628524046,0.205263617745503,0.203695994861334
-600,5,1,1,150,1,0.145739910313901,0.112,0.0739910313901345,0.372,0.350499615680246,0.461904761904762,0.20570771454496,0.203136295845567
-400,5,1,1,150,1,0.127737226277372,0.116363636363636,0.072992700729927,0.349090909090909,0.358273381294964,0.46513249651325,0.206026328440887,0.202983821783322
-200,5,1,1,150,1,0.128113879003559,0.115107913669065,0.0765124555160142,0.345323741007194,0.358156028368794,0.46513249651325,0.206419309062737,0.202954392763158
0,5,1,1,150,1,0.128571428571429,0.114695340501792,0.0767857142857143,0.347670250896057,0.358156028368794,0.46513249651325,0.206425257972426,0.20295413207531
200,5,1,1,150,1,0.126732673267327,0.134615384615385,0.0811881188118812,0.413461538461538,0.361702127659574,0.469125902165196,0.204727554703575,0.203337498199614
400,5,1,1,150,1,0.156521739130435,0.164383561643836,0.0956521739130435,0.458904109589041,0.375549692172383,0.470342522974102,0.205875531837874,0.203661664200393
600,5,1,1,150,1,0.176470588235294,0.170212765957447,0.110294117647059,0.468085106382979,0.366013071895425,0.470342522974102,0.205076058719424,0.203634125976162
-400,5,1,0,50,1,0.18974358974359,0.134146341463415,0.0666666666666667,0.457317073170732,0.377981651376147,0.38638985005767,0.202583781600026,0.20358065353394
-200,5,1,0,50,1,0.18974358974359,0.137724550898204,0.0666666666666667,0.449101796407186,0.377981651376147,0.38638985005767,0.202583781600026,0.203584331344214
-600,5,1,0,150,1,0.179487179487179,0.13963963963964,0.0555555555555556,0.378378378378378,0.352509179926561,0.394486692015209,0.206572399023611,0.203306762922326
-400,5,1,0,150,1,0.141104294478528,0.145299145299145,0.049079754601227,0.363247863247863,0.363636363636364,0.397350993377483,0.207100766267435,0.203136313808403
-200,5,1,0,150,1,0.143730886850153,0.144067796610169,0.0519877675840979,0.360169491525424,0.364475201845444,0.397350993377483,0.207791075482124,0.203100469398581
0,5,1,0,150,1,0.143730886850153,0.144067796610169,0.0519877675840979,0.360169491525424,0.364475201845444,0.397350993377483,0.207791075482124,0.203100469398581
-600,7,0,1,50,1,0.149509803921569,0.105932203389831,0.0857843137254902,0.38135593220339,0.364161849710983,0.461642905634759,0.203497001109328,0.203147242894636
-400,7,0,1,50,1,0.144522144522145,0.111111111111111,0.0885780885780886,0.35632183908046,0.366636113657195,0.464857341684064,0.203415554302656,0.202993582795559
-200,7,0,1,50,1,0.151079136690647,0.1256038647343,0.0983213429256595,0.410628019323671,0.364214350590372,0.4688,0.204037467517732,0.203337733865648
-600,7,0,1,150,1,0.128158844765343,0.115942028985507,0.0740072202166065,0.344202898550725,0.358273381294964,0.464857341684064,0.206013275505572,0.202977505375452
-400,7,0,1,150,1,0.127433628318584,0.114695340501792,0.0761061946902655,0.340501792114695,0.358156028368794,0.464857341684064,0.206406524258969,0.202948118096003
-200,7,0,1,150,1,0.128975265017668,0.114285714285714,0.0777385159010601,0.342857142857143,0.358156028368794,0.464857341684064,0.206412469154735,0.202947858014516
