Supplementary Dataset 1 - Spreadsheet H - Network sizes for generic oxidant/reductant driven expansion (no RSSR--> 2RSH )  - Data for generating Extended Data Fig.4,,,,
,,,,
ox_eh,red_eh,thioester,carbon_source,num_compounds
-800,-800,0,0,13
-800,-800,0,1,140
-800,-800,1,0,280
-800,-800,1,1,280
-800,-600,0,0,13
-800,-600,0,1,141
-800,-600,1,0,280
-800,-600,1,1,280
-800,-400,0,0,13
-800,-400,0,1,149
-800,-400,1,0,292
-800,-400,1,1,292
-800,-200,0,0,10
-800,-200,0,1,11
-800,-200,1,0,303
-800,-200,1,1,303
-800,0,0,0,6
-800,0,0,1,9
-800,0,1,0,8
-800,0,1,1,304
-800,200,0,0,6
-800,200,0,1,9
-800,200,1,0,8
-800,200,1,1,14
-800,400,0,0,6
-800,400,0,1,9
-800,400,1,0,8
-800,400,1,1,14
-800,600,0,0,6
-800,600,0,1,9
-800,600,1,0,8
-800,600,1,1,14
-800,800,0,0,6
-800,800,0,1,9
-800,800,1,0,8
-800,800,1,1,14
-600,-800,0,0,13
-600,-800,0,1,141
-600,-800,1,0,280
-600,-800,1,1,280
-600,-600,0,0,13
-600,-600,0,1,141
-600,-600,1,0,280
-600,-600,1,1,280
-600,-400,0,0,13
-600,-400,0,1,149
-600,-400,1,0,292
-600,-400,1,1,292
-600,-200,0,0,13
-600,-200,0,1,149
-600,-200,1,0,303
-600,-200,1,1,303
-600,0,0,0,6
-600,0,0,1,149
-600,0,1,0,8
-600,0,1,1,304
-600,200,0,0,6
-600,200,0,1,149
-600,200,1,0,8
-600,200,1,1,304
-600,400,0,0,6
-600,400,0,1,149
-600,400,1,0,8
-600,400,1,1,304
-600,600,0,0,6
-600,600,0,1,140
-600,600,1,0,8
-600,600,1,1,304
-600,800,0,0,6
-600,800,0,1,140
-600,800,1,0,8
-600,800,1,1,304
-400,-800,0,0,13
-400,-800,0,1,149
-400,-800,1,0,292
-400,-800,1,1,292
-400,-600,0,0,13
-400,-600,0,1,149
-400,-600,1,0,292
-400,-600,1,1,292
-400,-400,0,0,13
-400,-400,0,1,149
-400,-400,1,0,292
-400,-400,1,1,292
-400,-200,0,0,13
-400,-200,0,1,149
-400,-200,1,0,303
-400,-200,1,1,303
-400,0,0,0,6
-400,0,0,1,149
-400,0,1,0,8
-400,0,1,1,304
-400,200,0,0,6
-400,200,0,1,149
-400,200,1,0,8
-400,200,1,1,304
-400,400,0,0,6
-400,400,0,1,149
-400,400,1,0,8
-400,400,1,1,304
-400,600,0,0,6
-400,600,0,1,148
-400,600,1,0,8
-400,600,1,1,304
-400,800,0,0,6
-400,800,0,1,148
-400,800,1,0,8
-400,800,1,1,304
-200,-800,0,0,13
-200,-800,0,1,149
-200,-800,1,0,303
-200,-800,1,1,303
-200,-600,0,0,13
-200,-600,0,1,149
-200,-600,1,0,303
-200,-600,1,1,303
-200,-400,0,0,13
-200,-400,0,1,149
-200,-400,1,0,303
-200,-400,1,1,303
-200,-200,0,0,11
-200,-200,0,1,12
-200,-200,1,0,286
-200,-200,1,1,286
-200,0,0,0,6
-200,0,0,1,11
-200,0,1,0,8
-200,0,1,1,287
-200,200,0,0,6
-200,200,0,1,11
-200,200,1,0,8
-200,200,1,1,287
-200,400,0,0,6
-200,400,0,1,11
-200,400,1,0,8
-200,400,1,1,287
-200,600,0,0,6
-200,600,0,1,11
-200,600,1,0,8
-200,600,1,1,287
-200,800,0,0,6
-200,800,0,1,11
-200,800,1,0,8
-200,800,1,1,287
0,-800,0,0,13
0,-800,0,1,149
0,-800,1,0,304
0,-800,1,1,304
0,-600,0,0,13
0,-600,0,1,149
0,-600,1,0,304
0,-600,1,1,304
