,cid,scope
0,C11511,4307
1,C00375,4307
2,C05167,4307
3,C00049,420
4,C02614,4307
5,C01883,4307
6,C02341,4305
7,C05359,4299
8,C06029,4307
9,C03981,4307
10,Z00026,4279
11,C20485,4307
12,C04115,4307
13,C02362,4307
14,C02218,4307
15,C05946,4307
16,C00084,4237
17,C01990,4307
18,C01384,4307
19,C01444,4307
20,C01417,4307
21,Z00042,4306
22,C00490,4306
23,C00074,143
24,C00898,4307
25,C00940,4251
26,C03248,4307
27,C00013,431
28,C06244,4307
29,C02107,4307
30,C03961,4307
31,C06033,4307
32,Z00039,4305
33,C05361,4303
34,C05684,4304
35,C01563,4307
36,C19813,4307
37,Z00043,4307
38,C03600,4307
39,C01353,4304
40,C05379,4307
41,C01596,4306
42,C02512,4306
43,C00186,4307
44,C00152,3061
45,C04434,4307
46,C21632,4307
47,C04324,4307
48,C05364,4307
49,C06035,4307
50,C01042,4305
51,C00222,4301
52,C05360,4307
53,C05840,4307
54,C00552,4306
55,C02612,4307
56,C00227,4307
57,C02798,4278
58,C00631,145
59,C00037,390
60,C00497,4306
61,C00697,4306
62,C00258,4304
63,C20253,4307
64,C19838,4307
65,C01159,4307
66,C18232,4307
67,C00804,4305
68,C00197,148
69,C07272,4307
70,C02226,4306
71,C03548,4307
72,C00256,4305
73,C05670,4306
74,C01182,4306
75,C06031,4307
76,C00099,1883
77,C06032,4307
78,C00354,4307
79,C00085,4305
80,C03722,543
81,C00118,305
82,C01073,4307
83,C05669,4306
84,C19779,4307
85,C01151,4307
86,C00111,4284
87,C00279,4265
88,C20954,4300
89,C00184,4307
90,C01286,4307
91,C00546,4304
92,C00092,4244
93,C06893,4305
94,C00352,4307
95,C21611,4305
96,C00119,538
97,C06019,4307
98,C20440,4307
99,C05378,4307
100,C00231,4305
101,C04442,4307
102,C01097,4303
103,C21610,4307
104,C22280,4307
105,C00275,4305
106,C00673,4306
107,C03785,4307
108,C21383,4306
109,C00357,4307
110,C00103,4295
111,C05382,4288
112,C01101,4307
113,C00663,4304
114,C01113,4305
115,C20986,4307
116,C05345,4295
117,C22318,4307
118,C03604,4305
119,C00067,1536
120,C00447,4307
121,C16848,4305
122,C06377,4306
123,C01185,544
124,C00031,4273
125,C00636,4303
126,C04691,4307
127,C00672,4296
128,C00199,1340
129,C06156,4307
130,C00944,2696
131,C19792,4305
132,C20236,4306
133,C21281,4307
134,C00185,4299
135,C15556,1342
136,C02048,4307
137,C03394,4297
138,C21282,4307
139,C00963,4307
140,C00267,4307
141,C07836,4303
142,C00117,309
143,C04534,4307
144,C00208,4303
145,C00689,4307
146,C01172,4306
147,C05841,4307
148,C00668,4307
149,C02591,4307
150,C22029,4307
151,C15548,4307
152,C19882,4307
153,C00455,4307
154,C00095,4303
155,C18096,4305
156,C20934,4307
157,C01231,4307
158,C03847,4307
159,C04501,4307
160,C01112,4307
161,C16698,4307
162,C04257,4307
163,C03291,4307
164,C02995,4307
165,C01518,4307
166,C02306,4307
167,C01083,4304
168,C06376,4307
169,C19878,4304
170,C06241,4307
171,C00089,4299
172,C16688,4307
173,C14899,4306
174,C00121,4291
175,C00369,4306
176,C21285,4304
177,C00253,4252
178,C03150,4306
179,C02713,4306
180,C03090,440
181,C00236,4307
182,C04478,4307
183,C00018,313
184,C19791,4306
185,C01935,4305
186,C01898,4307
187,C00159,4303
188,C06219,4303
189,C00153,1788
190,C02962,4306
191,C01094,4307
192,C22278,4307
193,C00620,4306
194,C00273,4306
195,C20861,4307
196,C06468,4307
197,C00252,4302
198,C00221,4304
199,C00645,4307
200,C02964,4307
201,C16186,4307
202,C03661,4307
203,C06400,4307
204,C21655,4307
205,C01187,4305
206,C21336,4307
207,C02336,4307
208,C02478,4307
209,C03838,441
210,C21659,4307
211,C01728,4307
212,C00577,4307
213,C00250,4301
214,C00270,4296
215,C00973,4307
216,C00372,4305
217,C05396,4307
218,C01742,4307
219,C02013,4304
220,C00140,4295
221,C11544,4307
222,C02209,4307
223,C00309,4307
224,C00721,4307
225,Z00035,324
226,C00097,1844
227,C00534,4307
228,C00065,3015
229,C00025,414
230,C20887,4307
231,C00204,4306
232,C01674,4305
233,C00402,4306
234,C06393,4307
235,C06218,4305
236,C01216,4307
237,C00216,4304
238,C03708,4307
239,C22097,4307
240,C04376,442
241,C00820,4307
242,C22230,4307
243,Z00004,3053
244,C20904,4307
245,C04540,4306
246,C00188,3058
247,C00041,2970
248,C05519,4307
249,C11516,4307
250,C00793,4307
251,C00151,4303
252,C12317,4307
253,C00329,4304
254,C00405,4305
255,C05672,4307
256,C06114,4307
257,C12270,4307
258,C03752,4306
259,C00302,4307
260,C22320,4307
261,C02999,4307
262,C01419,4306
263,C00168,4307
264,C00138,4175
265,C00957,4306
266,C00139,4176
267,C01239,4307
268,C00979,4303
269,C00133,4287
270,C00334,4306
271,C22154,4291
272,C05723,4307
