,cid,scope_c,scope_r
0,C01010,441,1217
1,C00044,487,1413
2,C01261,487,1413
3,C00192,435,1206
4,C00003,4308,12468
5,C00004,4308,12468
6,C01818,434,1204
7,C18091,434,1204
8,C00007,450,1233
9,C01847,435,1211
10,C00088,435,1205
11,C00061,440,1224
12,C00492,446,1260
13,C08242,446,1260
14,C04546,435,1205
15,C01089,434,1204
16,C01158,435,1206
17,C04101,435,1206
18,C01572,435,1205
19,C01424,434,1204
20,C02868,436,1207
21,C01839,435,1206
22,C00294,4308,12468
23,C01993,434,1204
24,C01910,435,1205
25,C02171,434,1204
26,C01255,438,1212
27,C02378,438,1212
28,C00495,434,1204
29,C03036,434,1204
30,C03040,434,1204
31,C03374,443,1216
32,C00486,434,1204
33,C05787,441,1214
34,C01175,436,1208
35,C04275,436,1208
36,C05791,435,1206
37,C05795,434,1204
38,C00019,4308,12468
39,C00170,4308,12468
40,C05324,435,1206
41,C02307,435,1205
42,C02308,434,1204
43,C00002,4308,12468
44,C00081,4308,12468
45,C00010,4308,12468
46,C02015,434,1204
47,C00541,436,1212
48,C00992,436,1212
49,C00853,435,1209
50,C00153,441,1243
51,C00301,4308,12468
52,C00027,439,1214
53,C00005,4308,12468
54,C00006,4308,12468
55,C00253,441,1243
56,C13051,4308,12468
57,C00008,4308,12468
58,C00104,4308,12468
59,C01260,4308,12468
60,C00020,4308,12468
61,C03483,4308,12468
62,C00882,4308,12468
63,C00536,435,1210
64,C11038,434,1204
65,C03997,434,1204
66,C00169,438,1215
67,C01326,436,1210
68,C00075,479,1456
69,C00015,479,1456
70,C00263,434,1204
71,C02926,434,1204
72,C00147,4308,12468
73,C00857,4308,12468
74,C00021,4308,12468
75,C03539,435,1206
76,C01070,436,1208
77,C01071,436,1208
78,C00024,4308,12468
79,C00083,4308,12468
80,C00332,4308,12468
81,C01165,450,1243
82,C00624,434,1204
83,C00091,4308,12468
84,C05572,434,1205
85,C00029,479,1456
86,C00167,488,1473
87,C00718,434,1211
88,C03196,434,1205
89,C03107,434,1204
90,C02191,484,1307
91,C00032,484,1307
92,C05783,435,1205
93,C05784,434,1204
94,C05785,434,1204
95,C05993,4309,12473
96,C02132,434,1206
97,C02655,434,1205
98,C00144,487,1413
99,C00035,487,1413
100,C00201,439,1233
101,C00454,439,1233
102,C01329,434,1204
103,C00394,487,1413
104,C00566,4308,12468
105,C00125,440,1218
106,C00126,440,1218
107,C00213,434,1204
108,C03790,434,1204
109,C00039,434,1204
110,C02967,434,1204
111,C00040,4308,12468
112,C00060,453,1245
113,C00658,435,1205
114,C00605,434,1204
115,C01122,434,1204
116,C00264,434,1204
117,C04253,439,1210
118,C04570,439,1210
119,C02403,434,1204
120,C02055,434,1204
121,C03210,434,1204
122,C04348,4308,12468
123,C00016,4308,12468
124,C01352,4308,12468
125,C00164,436,1207
126,C00043,479,1456
127,C03021,434,1204
128,C04375,434,1204
129,C01170,479,1456
130,C04573,435,1206
131,C05005,434,1204
132,C04895,452,1242
133,C05922,487,1413
134,C00047,464,1269
135,C04092,434,1204
136,C04076,464,1269
137,C04020,434,1204
138,C02727,464,1269
139,C00408,436,1209
140,C02837,464,1269
141,C00313,4308,12468
142,C03082,434,1204
143,C00438,438,1215
144,C03174,434,1206
145,C00052,496,1526
146,C00617,492,1484
147,C00243,446,1260
148,C00105,479,1456
149,C04739,434,1204
150,C05796,447,1265
151,C00224,4308,12468
152,C00053,4308,12468
153,C00055,479,1456
154,C00380,479,1456
155,C00475,479,1456
156,C02405,434,1204
157,C00798,4308,12468
158,C00488,434,1205
159,C01045,434,1205
160,C00059,439,1209
161,C02703,434,1204
162,C02827,434,1204
163,C00951,434,1204
164,C00054,4308,12468
165,C08357,434,1204
166,C05299,434,1204
167,C08358,434,1204
168,C05302,434,1204
169,C08359,434,1204
170,C02133,453,1245
171,C00726,453,1245
172,C03361,434,1204
173,C02444,434,1204
174,C02589,434,1205
175,C00062,475,1313
176,C00327,458,1264
177,C00613,434,1204
178,C16011,434,1204
179,C04137,476,1314
180,C01682,476,1314
181,C00077,450,1243
182,C00581,444,1231
183,C00063,479,1456
184,C00941,479,1456
185,C02716,434,1204
186,C17325,434,1204
187,C04155,434,1204
188,C17324,434,1204
189,C04156,434,1204
190,C01977,434,1204
191,C04157,434,1204
192,C04158,434,1204
193,C04159,434,1204
194,C04160,434,1204
195,C02728,434,1204
196,C00068,454,1270
197,C03028,455,1271
198,C01081,454,1270
199,C00378,437,1208
200,C05381,454,1270
201,C02000,434,1204
202,C02391,454,1246
203,C00162,434,1204
204,C00072,444,1228
205,C01041,444,1228
206,C01620,434,1204
207,C00073,446,1240
208,C01180,446,1240
209,C03145,446,1240
210,C04631,479,1456
211,C00512,4308,12468
212,C03712,434,1204
213,C04210,434,1204
214,C00078,444,1232
215,C02983,434,1204
216,C00079,439,1223
217,C00166,439,1223
218,C00826,444,1234
219,C03519,434,1204
220,C03912,450,1243
221,C00449,434,1204
222,C03614,4309,12469
223,C00082,445,1224
224,C02993,434,1204
225,C05989,4308,12468
226,C05125,454,1270
227,C00665,435,1209
228,C03139,444,1231
229,C00086,443,1230
230,C00244,434,1204
231,C03848,434,1204
232,C04261,465,1327
233,C00615,465,1327
234,C04091,434,1204
235,C00090,435,1206
236,C06321,434,1204
237,C04221,434,1204
238,C00196,435,1206
239,C01988,434,1204
240,C02232,4308,12468
241,C03296,436,1207
242,C01096,435,1206
243,C01236,435,1207
244,C00093,442,1226
245,C00116,442,1226
246,C00681,435,1208
247,C04641,434,1204
248,C04703,434,1204
249,C00513,489,1481
250,C00094,443,1225
251,C00087,434,1204
252,C00320,459,1252
253,C00392,435,1206
254,C10906,434,1204
255,C03267,435,1209
256,C00794,435,1206
257,C00096,487,1413
258,C00976,434,1204
259,C02492,435,1206
260,C00491,438,1213
261,C05665,434,1204
262,C02642,435,1207
263,C02207,434,1204
264,C05341,464,1269
265,C00100,4308,12468
266,C02876,434,1204
267,C00349,435,1206
268,C00683,4308,12468
269,C03344,434,1204
270,C00163,437,1210
271,C02225,437,1214
272,C02630,434,1204
273,C06002,437,1211
274,C00101,437,1212
275,C00415,434,1204
276,C00504,434,1204
277,C00234,449,1239
278,C00498,4308,12468
279,C00299,479,1456
280,C03030,479,1456
281,C00106,479,1456
282,C00813,434,1204
283,C00108,438,1211
284,C02247,4308,12468
285,C02775,434,1204
286,C03005,434,1204
287,C03147,434,1204
288,C05835,434,1204
289,C02488,434,1204
290,C05984,434,1204
291,C00110,435,1206
292,C00381,435,1206
293,C00621,436,1207
294,C01246,436,1207
295,C21212,434,1204
296,C04678,434,1204
297,C03862,436,1207
298,C03372,434,1204
299,C00112,479,1456
300,C00114,437,1214
301,C01996,437,1214
302,C00919,434,1204
303,C01777,434,1204
304,C00698,434,1204
305,C02635,435,1205
