,rn,Fold
0,R07105,2003
1,R07105,2007
2,R07105,236
3,R07105,4002
4,R00623,2003
5,R00623,2007
6,R00623,236
7,R00623,4002
8,R00754,2003
9,R00754,2007
10,R00754,236
11,R00754,4002
12,R02124,2003
13,R02124,2007
14,R02124,236
15,R02124,4002
16,R02878,2003
17,R02878,2007
18,R02878,236
19,R02878,4002
20,R04805,2003
21,R04805,2007
22,R04805,236
23,R04805,4002
24,R04880,2003
25,R04880,2007
26,R04880,236
27,R04880,4002
28,R05233,2003
29,R05233,2007
30,R05233,236
31,R05233,4002
32,R05234,2003
33,R05234,2007
34,R05234,236
35,R05234,4002
36,R06917,2003
37,R06917,2007
38,R06917,236
39,R06917,4002
40,R06927,2003
41,R06927,2007
42,R06927,236
43,R06927,4002
44,R08281,2003
45,R08281,2007
46,R08281,236
47,R08281,4002
48,R08306,2003
49,R08306,2007
50,R08306,236
51,R08306,4002
52,R08557,2003
53,R08557,2007
54,R08557,236
55,R08557,4002
56,R08558,2003
57,R08558,2007
58,R08558,236
59,R08558,4002
60,R10783,2003
61,R10783,2007
62,R10783,236
63,R10783,4002
64,R00624,2003
65,R00624,2007
66,R00624,236
67,R00624,4002
68,R08310,2003
69,R08310,2007
70,R08310,236
71,R08310,4002
72,R01481,2002
73,R01481,2003
74,R01481,236
75,R00625,2002
76,R00625,2003
77,R00625,236
78,R00746,2002
79,R00746,2003
80,R00746,236
81,R01041,2002
82,R01041,2003
83,R01041,236
84,R05231,2002
85,R05231,2003
86,R05231,236
87,R07328,2002
88,R07328,2003
89,R07328,236
90,R01773,2003
91,R01773,298
92,R01773,304
93,R01775,2003
94,R01775,298
95,R01775,304
96,R02855,2003
97,R02855,236
98,R02946,2003
99,R02946,236
100,R10715,2007
101,R10715,4002
102,R10717,2007
103,R10717,4002
104,R01034,2007
105,R01034,4002
106,R00842,129
107,R00842,2003
108,R00868,129
109,R00868,2003
110,R05604,129
111,R05604,2003
112,R00875,2003
113,R00875,236
114,R01896,2003
115,R01896,236
116,R07145,2003
117,R07145,236
118,R00758,129
119,R00758,2003
120,R02703,129
121,R02703,2003
122,R01183,2003
123,R01183,298
124,R09951,2003
125,R09951,298
126,R02531,2002
127,R02577,2002
128,R04285,2002
129,R11764,2002
130,R01036,2002
131,R01093,2002
132,R01095,2002
133,R01431,2002
134,R01758,2002
135,R01759,2002
136,R01787,2002
137,R02819,2002
138,R02820,2002
139,R00286,129
140,R00286,2003
141,R01163,7524
142,R03012,7524
143,R01158,7524
144,R02413,2003
145,R02413,2007
146,R12885,2003
147,R12885,2007
148,R01388,2003
149,R00717,2003
150,R01000,2003
151,R01000,279
152,R03104,2003
153,R03104,279
154,R00703,2003
155,R00703,279
156,R01361,2003
157,R02047,129
158,R02047,2003
159,R05066,129
160,R05066,2003
161,R02082,304
162,R05305,129
163,R05305,2003
164,R08094,129
165,R08094,2003
