,cid,formula,name,num_rgroup,electrons,reduction,water_amt,water_per_c
21,C00022,C3H4O3,Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid,0,46.0,1.6666666666666667,3.0,1.0
25,C00026,C5H6O5,2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid,0,76.0,1.6,5.0,1.0
30,C00031,C6H12O6,D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose,0,96.0,2.0,6.0,1.0
32,C00033,C2H4O2,Acetate; Acetic acid; Ethanoic acid,0,32.0,2.0,2.0,1.0
35,C00036,C4H4O5,Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate,0,68.0,1.25,3.0,0.75
41,C00042,C4H6O4,Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid,0,62.0,1.75,4.0,1.0
47,C00048,C2H2O3,Glyoxylate; Glyoxalate; Glyoxylic acid,0,38.0,1.0,1.0,0.5
55,C00058,CH2O2,Formate; Methanoic acid; Formic acid,0,24.0,1.0,0.0,0.0
64,C00067,CH2O,Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin,0,16.0,2.0,1.0,1.0
69,C00072,C6H8O6,Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C,0,92.0,1.6666666666666667,6.0,1.0
81,C00084,C2H4O,Acetaldehyde; Ethanal,0,24.0,2.5,3.0,1.5
86,C00089,C12H22O11,Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside,0,182.0,2.0,13.0,1.0833333333333333
87,C00090,C6H6O2,"Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol",0,58.0,2.1666666666666665,10.0,1.6666666666666667
92,C00095,C6H12O6,D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose,0,96.0,2.0,6.0,1.0
106,C00109,C4H6O3,2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate,0,54.0,2.0,5.0,1.25
112,C00116,C3H8O3,"Glycerol; Glycerin; 1,2,3-Trihydroxypropane; 1,2,3-Propanetriol",0,50.0,2.3333333333333335,3.0,1.0
117,C00121,C5H10O5,D-Ribose,0,80.0,2.0,5.0,1.0
118,C00122,C4H4O4,Fumarate; Fumaric acid; trans-Butenedioic acid,0,60.0,1.5,4.0,1.0
120,C00124,C6H12O6,D-Galactose; D-Galactopyranose,0,96.0,2.0,6.0,1.0
128,C00132,CH4O,Methanol; Methyl alcohol; CH3OH,0,18.0,3.0,1.0,1.0
133,C00137,C6H12O6,myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I,0,96.0,2.0,6.0,1.0
137,C00141,C5H8O3,3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid,0,62.0,2.2,7.0,1.4
141,C00146,C6H6O,Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid,0,50.0,2.3333333333333335,11.0,1.8333333333333333
144,C00149,C4H6O5,(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid,0,70.0,1.5,3.0,0.75
151,C00156,C7H6O3,4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid,0,72.0,2.0,11.0,1.5714285714285714
