,iteration,complexity
C14818,0,0.0
C00011,0,23.774437510817343
C00305,0,0.0
C06232,0,86.81635834269238
C00343,0,515.2498015085164
C00238,0,0.0
C00283,0,0.0
C20679,0,86.81635834269238
C00038,0,0.0
C01528,0,0.0
C00161,0,74.79398751947123
C00069,0,2.0
C00150,0,0.0
C00229,0,2.0
C00022,0,72.03910001730776
C00070,0,0.0
C00342,0,483.7744825818499
C14819,0,0.0
C00001,0,0.0
C00014,0,0.0
C00012,0,172.72010581370307
C00288,0,26.264662506490403
C00017,0,172.72010581370307
C00080,0,0.0
C19609,0,0.0
C00175,0,0.0
C00009,0,49.78353986569366
C00071,0,12.264662506490405
C00282,0,0.0
C00145,0,2.0
C01353,1,26.264662506490403
C05684,1,26.264662506490403
C00013,1,147.35517231528553
C03248,1,152.21266925021752
C00084,1,10.264662506490405
C00036,1,158.34093004940024
C02218,1,74.79398751947123
C03981,1,167.79680833403847
C01417,1,26.264662506490403
C05361,1,0.0
C01563,1,29.019550008653876
C06033,1,228.19280948873623
C00375,1,4.754887502163468
C05167,1,62.568425030288566
C00957,1,98.3531421217447
C03961,2,137.72694052636007
C04115,2,318.9518744797245
C00222,2,66.43856189774726
C02362,2,161.95057052383706
C00074,2,201.0384684210058
C00033,2,27.019550008653876
C05360,2,0.0
C19813,2,137.72694052636007
C06035,2,203.1271418149828
C00898,2,133.82680599646994
C02107,2,133.82680599646991
C02612,2,159.42124551085624
C00209,2,71.5488750216347
C11511,2,137.72694052636004
C00804,3,77.38407798525417
C01883,3,42.91260938324327
C00697,3,4.754887502163469
C06244,3,29.019550008653876
C00058,3,10.264662506490405
C00227,3,133.36409612807475
C00552,3,133.82680599646994
C04324,3,335.9474732050232
C05364,3,324.93001187765793
C20253,3,76.86238311218402
C02798,3,201.0384684210058
C02614,3,159.42124551085624
C00631,3,182.1247076051515
C02226,3,167.79680833403847
C00383,3,83.10802962390817
C04434,3,324.93001187765793
C00037,3,42.91260938324327
C00158,3,227.36732222044088
C00048,3,55.91340299823497
C01444,3,74.79398751947123
C01127,4,195.14932354628763
C00258,4,69.33515884998701
C01732,4,167.79680833403847
C06031,4,134.11730005192322
C01159,4,310.62919048309067
C20485,4,195.14932354628763
C03548,4,144.34093004940024
C00186,4,57.058650025961626
C06032,4,134.11730005192322
C01990,4,292.2066296409906
C00197,4,182.1247076051515
C05946,4,195.14932354628763
C19838,4,137.72694052636007
C06029,5,134.11730005192322
C00256,5,57.058650025961626
C01182,5,367.629861850361
C00354,5,427.66348447575547
C00118,6,149.07191849430646
C00111,6,158.37586395323947
C01151,6,371.62986185036107
C00085,6,289.7237977000914
C05378,7,427.66348447575547
C01286,7,307.1210712266785
C06019,7,273.1727756179181
C01097,7,289.7237977000914
C00546,7,55.91340299823497
C03785,7,427.66348447575547
C00231,7,233.88613792310585
C20440,7,390.15749593448766
C00119,7,520.5713507823117
C06893,7,307.1210712266785
C00092,7,277.1727756179181
C00275,7,277.1727756179181
C00279,7,185.84539731095865
C00673,7,212.9284413856168
C04442,7,307.1210712266785
C00352,7,281.70210063089894
C00184,7,44.0
C00447,8,453.30495833319895
C00031,8,146.2188491003481
C00199,8,233.88613792310585
C16848,8,293.5070196663119
C00067,8,2.0
C06156,8,279.7021006308989
C05382,8,313.348055866671
C00672,8,212.9284413856168
C03604,8,195.58305677429172
C00103,8,275.17277561791803
C05345,8,289.7237977000914
C06377,8,281.70210063089894
C01113,8,277.1727756179181
C04691,8,348.1353578277079
C00357,8,371.23110892859495
C00636,8,275.17277561791803
C00663,8,275.17277561791803
C01101,8,233.88613792310585
C01112,9,223.7715284689852
C06376,9,371.23110892859495
C00668,9,277.1727756179181
C03847,9,293.21066600134725
C02306,9,53.0286523635302
C19792,9,281.2118756352258
C00208,9,378.0184383617949
C02995,9,526.2271435981984
C00944,9,249.36732222044088
C18096,9,289.7237977000914
C02591,9,540.1907956986512
C03394,9,195.5830567742917
C19882,9,317.348055866671
C04501,9,371.23110892859495
C00095,9,162.11730005192322
C20236,9,378.0184383617949
C01172,9,277.1727756179181
C01518,9,380.0184383617949
C19878,9,317.348055866671
C04534,9,526.2271435981984
C00117,9,237.88613792310585
C00689,9,526.2271435981984
C00267,9,146.2188491003481
C00185,9,378.0184383617949
C01231,9,412.1706099560218
C02048,9,380.0184383617949
C01083,9,344.0184383617948
C15548,9,380.0184383617949
C16698,9,508.1983830769577
C07836,9,317.348055866671
C04257,9,371.23110892859495
C15556,9,183.0213045573913
C03291,9,233.8861379231059
C02713,10,362.3322872977601
C14899,10,333.68782422571314
C06241,10,551.1795069999351
C06468,10,162.11730005192322
C00159,10,146.2188491003481
C01094,10,289.7237977000914
C02964,10,378.0184383617949
C00089,10,393.2032272794937
C03090,10,242.2346534687026
C02962,10,277.1727756179181
C06219,10,635.0746547602489
C00645,10,235.1717839644164
C00018,10,454.0869118636696
C20861,10,378.0184383617949
C19791,10,420.8199936596412
C00252,10,380.0184383617949
C00273,10,156.8771237954945
C00236,10,310.62919048309067
C16688,10,542.1907956986513
C01935,10,400.0348691636268
C01898,10,149.1036009089937
C00369,10,400.0348691636268
C00221,10,146.2188491003481
C04478,10,389.88436314927935
C00620,10,237.8861379231059
C00270,11,403.15514211690527
C03661,11,667.8646550642627
C05396,11,526.2271435981984
C11544,11,281.2118756352258
C00577,11,43.30296890880646
C00140,11,235.1717839644164
C16186,11,368.19550008653874
C00973,11,780.2065295126791
C02013,11,910.1197144088388
C02336,11,162.11730005192322
C03838,11,346.3371774492163
C02209,11,146.2188491003481
C00372,11,404.0348691636268
C00721,11,400.0348691636268
C06400,11,635.0746547602489
C00250,11,309.41643696177533
C01742,11,393.2032272794937
C01187,11,252.42286534333684
C01728,11,380.0184383617949
C01216,12,176.8771237954945
C00097,12,75.33515884998701
C00329,12,150.11898363023823
C11516,12,420.8199936596412
C00204,12,176.8771237954945
C06218,12,1198.474275807321
C00216,12,102.6059378176129
C05519,12,91.28421251514428
C00793,12,75.33515884998701
C06393,12,73.33515884998701
C20904,12,74.79398751947123
C20887,12,477.8093794712674
C12317,12,91.28421251514428
C00820,12,91.28421251514428
C00065,12,72.58027134782354
C00041,12,59.813537528125096
C00049,12,132.52932501298082
C00188,12,91.28421251514428
C01674,12,579.06926577698
C04376,12,399.4087859413088
C02882,12,89.35260810785708
C00257,13,170.3657023879603
C00122,13,118.97373660251156
C00979,13,144.58337707694838
C00152,13,133.77443751081734
C00099,13,52.75488750216347
C05688,13,75.33515884998701
C00534,13,286.6315037707288
C02512,13,126.49022499567306
C00109,13,95.10802962390817
C01005,13,186.2664170552278
C01042,13,195.98398450851272
C00740,13,72.58027134782354
C02999,13,500.6940932626632
C03752,13,174.5074118380366
C01419,13,161.8065198803332
C00309,13,127.20671786825557
C20845,13,180.77725832538465
C00133,13,59.813537528125096
C06217,13,1497.4045251766
C00168,13,95.10802962390817
C00402,13,132.52932501298082
C00151,13,62.568425030288566
C05729,13,178.07626754290982
C20905,14,97.86291712607164
C01384,14,118.97373660251156
C20888,14,403.4995490565424
C00975,14,179.7933559231693
C02291,14,189.86647567444436
C00149,14,128.919684538544
C01073,14,107.3715149046361
C05947,14,150.2557123669929
C00266,14,18.0
C01146,14,86.93569696954751
C06216,14,1805.1128124281463
C00405,14,62.568425030288566
C04540,14,459.5867518571769
C02356,14,72.09004635215048
C06030,14,182.47733175670797
C01234,14,106.25742227201614
C20729,14,276.35755316026064
C05705,14,135.77443751081734
C05670,14,43.344977967946406
C03722,14,300.933190204761
C20844,14,190.3774662865981
C00155,14,86.10749561002055
C02532,14,186.2664170552278
C05704,14,192.00818512452065
C05669,14,95.85105031544944
C19779,14,52.75488750216347
C00042,14,92.60593781761293
C00121,14,116.6059378176129
C05699,14,189.86647567444436
C00198,14,178.8771237954945
C11529,14,137.01955000865388
C05840,14,161.95057052383706
C00993,14,167.21033080937613
C00647,14,430.6820009406484
C00542,15,189.86647567444436
C05698,15,86.10749561002055
C01118,15,251.5164492731377
C00684,15,140.97373660251156
C00441,15,101.45654516950492
C01077,15,156.66127285260654
C05702,15,199.724766224368
C17234,15,106.25742227201614
C01185,15,602.9804590502168
C01596,15,122.21884910034808
C03826,15,140.97373660251156
C00232,15,77.00409256226031
C03921,15,233.1372663658403
C00679,15,233.1372663658403
C00311,15,233.1372663658403
C00497,15,128.919684538544
C03459,15,182.18683770125463
C01239,15,237.0719184943065
C06441,15,250.1161937777065
C05226,15,137.01955000865388
C20258,16,272.05646704221994
C05841,16,450.914507487787
C05707,16,216.07820003461552
C07272,16,131.76878450632643
C20644,16,352.8253137636007
C12115,16,295.7372022742226
C03283,16,84.10749561002055
C16850,16,205.0595826270352
C00334,16,62.710134480364864
C00455,16,605.5097840631977
C05601,16,221.0226569117196
C00433,16,137.89342114105557
C16849,16,179.43195019909115
C06201,16,231.13726636584025
C18232,16,184.08697223114476
C05600,17,238.18129042315067
C00986,17,12.36452797660028
C03150,17,452.8146420176771
C00025,17,144.58337707694838
C00253,17,207.5576620543373
C04282,17,163.5860425472368
C05941,17,144.58337707694835
C02946,17,116.95461844238322
C19929,17,157.90638535044312
C00153,17,207.5576620543373
C03063,17,227.9512345685501
C05711,18,349.0307135123708
C00051,18,389.18921854622977
C02320,18,408.2542714795323
C05942,18,178.3185566594942
C03618,18,137.72694052636004
C03079,18,150.2557123669929
C05931,18,325.3060588338717
C12270,18,431.5041824520266
C06231,18,176.5866297400412
C00064,18,145.8284895747849
C06114,18,246.70628424348945
C00217,18,144.58337707694838
C05723,18,161.80651988033324
C00026,18,170.87712379549453
C04052,18,327.88188635738254
C15767,18,266.6249596294097
C05672,18,173.73187676776783
C04186,19,350.00168566587223
C00302,19,144.58337707694838
C03738,19,265.75764357651826
C19907,19,60.12481811269772
C00819,19,145.8284895747849
C03740,19,270.10615912211506
C01879,19,154.28209708830374
C01031,19,443.4016234394327
C03451,19,525.4035008636155
C00940,19,174.48676426993134
C03232,19,213.7255758830591
C04640,19,401.1832234521261
C20776,19,690.5499623857788
C05379,19,266.15633251232987
C02671,19,161.80651988033324
C06442,19,157.9063853504431
C02237,19,154.28209708830374
C14180,19,418.4898668701561
C05715,20,138.38364613672863
C16690,20,389.18921854622977
C03933,20,389.18921854622977
C03373,20,488.442040780638
C00669,20,283.602235160789
C04751,21,613.4734816667398
C04823,22,868.3012667875821
C15667,22,586.642328740784
C04677,23,614.7576941818841
C04051,24,228.22643653531688
C04734,24,673.2861236592693
C00130,25,814.5390122741012
C00294,26,652.6525847705161
C00104,26,984.92771384013
C00262,26,400.9401973912069
C00081,26,1158.6579274251092
C00147,27,351.5657969317911
C00212,27,602.6175788415977
C05512,27,621.6103593884184
C00559,28,571.6385353073613
C01367,28,763.1378284373784
C00020,28,763.1378284373789
C00008,29,932.2328730863924
C03794,29,1025.2457382268296
C00301,29,1184.7111983996754
C00054,29,926.2328730863928
C02353,29,782.2529242018635
C00360,29,731.6654509961365
C00857,29,1627.4614278624038
C00002,29,1104.7844074952266
C00345,30,299.1712480845663
C03064,30,128.919684538544
C12147,30,211.5936249829496
C03082,30,257.2181569982583
C20237,30,524.2271435981984
C04544,30,403.4198046233957
C19694,30,165.9652183115396
C02076,30,196.4773317567079
C02045,30,80.10749561002055
C00310,30,127.20671786825557
C00498,30,1233.068094294167
C13050,30,1285.655815554432
C02022,30,80.10749561002055
C02739,30,1621.9337238845787
C05172,30,53.0286523635302
C11472,30,457.30495833319895
C16116,30,172.72010581370307
C00003,30,1628.6201084376487
C19719,30,180.38689879982144
C00795,30,162.11730005192322
C18006,30,163.80651988033324
C00618,30,201.1594480971451
C00169,30,135.36409612807475
C00508,30,127.20671786825557
C00665,30,427.66348447575547
C00575,30,782.2529242018635
C20565,30,1694.505848403727
C00206,30,900.143881157641
C02405,30,100.64778179757931
C00192,30,2.0
C19879,30,457.30495833319895
C00312,30,127.20671786825557
C01260,30,2042.362168417536
C03939,30,44.912609383243264
C03287,30,271.2537196151922
C20775,30,469.2644492962189
C05380,30,310.42499478611643
C20190,30,2410.044940409889
C06892,30,176.8771237954945
C01801,30,94.95878455585176
C04058,30,2228.363771462491
C01487,30,146.2188491003481
C00764,31,162.11730005192322
C00652,31,144.97373660251154
C20198,31,1459.613511675543
C05406,31,170.87712379549453
C00132,31,2.0
C07838,31,317.3480558666711
C00794,31,104.6059378176129
C04575,31,233.1372663658403
C00476,31,102.6059378176129
C07024,31,1148.147420398485
C03401,31,73.33515884998701
C01062,31,201.1594480971451
C00943,31,834.0345270657488
C01818,31,19.219280948873624
C01140,31,147.2034663791036
C00491,31,192.00818512452065
C06735,31,20.0
C19880,31,317.3480558666711
C11822,31,90.18080946738404
C20668,31,311.1210712266785
C00060,31,29.019550008653876
C00004,31,1555.9586268100904
C00802,31,163.19568302167357
C02741,31,1258.9806661944683
C17209,31,168.3555778371028
C00438,31,197.88411903840284
C03483,31,1280.6553848798471
C04006,31,273.72379770009144
C02637,31,254.5223501966412
C00006,31,1810.073045256974
C03431,31,788.2731733035785
C03267,31,289.7237977000914
C03589,31,126.919684538544
C20784,31,1433.5702408799646
C00259,31,102.6059378176129
C01508,31,102.6059378176129
C00160,31,40.1577218810798
C00021,31,788.2731733035785
C04122,31,120.98115537907292
C01218,31,333.6878242257132
C03393,31,220.1839163704497
C01236,31,311.1210712266785
C01209,31,113.09616281328596
C00131,31,1072.08899528674
C00181,31,102.6059378176129
C00094,31,26.264662506490403
C03124,31,146.1930175513852
C16737,31,167.42124551085627
C18007,31,78.43856189774725
C04349,31,208.0838499786226
C00162,31,29.019550008653876
C00655,31,912.924944449126
C04593,31,267.21187563522585
C03508,31,106.4518303660921
C05692,31,788.2731733035785
C06222,31,313.348055866671
C00971,31,359.5657599313975
C00247,32,162.11730005192322
C01096,32,240.1537094714285
C04642,32,311.7931939044795
C01697,32,104.6059378176129
C04856,32,1545.0636919346343
C00770,32,170.3657023879603
C04225,32,287.35789261361515
C00726,32,26.264662506490403
C06397,32,1285.6697244840454
C00800,32,170.3657023879603
C19674,32,201.90831965441075
