cid,smiles
C00001,O
C00002,n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O
C00003,[C@H]1([C@@H]([C@H](O[C@H]1[n+]1cc(ccc1)C(=O)N)COP(=O)(OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1cnc2c1ncnc2N)O)O)O)O)O)O
C00004,n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=C(CC=C1)C(=O)N)O)O
C00005,[C@H]1(n2c3c(nc2)c(ncn3)N)[C@@H]([C@@H]([C@H](O1)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1C=C(CC=C1)C(=O)N)O)O)O)OP(=O)(O)O
C00006,[C@H]1(n2c3c(nc2)c(ncn3)N)[C@@H]([C@@H]([C@H](O1)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)[n+]1cc(ccc1)C(=O)N)O)O)O)OP(=O)(O)O
C00007,O=O
C00008,n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O)O)O
C00009,P(=O)(O)(O)O
C00010,n1([C@@H]2O[C@@H]([C@H]([C@H]2O)OP(=O)(O)O)COP(=O)(OP(=O)(OCC([C@H](C(=O)NCCC(=O)NCCS)O)(C)C)O)O)c2c(nc1)c(ncn2)N
C00011,C(=O)=O
C00012,NC(C(=O)NC(C(=O)O)[*])[*]
C00013,P(=O)(OP(=O)(O)O)(O)O
C00014,N
C00015,[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O)O)O
C00016,[nH]1c(=O)nc2c(c1=O)nc1c(n2C[C@@H]([C@@H]([C@@H](COP(=O)(OP(=O)(OC[C@@H]2[C@H]([C@H]([C@@H](O2)n2c3ncnc(c3nc2)N)O)O)O)O)O)O)O)cc(c(c1)C)C
C00017,N[C@H](C(=O)N[C@@H]([*])C(=O)O)[*]
C00018,c1(c(c(c(nc1)C)O)C=O)COP(=O)(O)O
C00019,n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)C[S+](CC[C@@H](C(=O)[O-])N)C
C00020,n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O
C00021,[C@H]1(O[C@@H]([C@H]([C@H]1O)O)CSCC[C@@H](C(=O)O)N)n1c2c(nc1)c(ncn2)N
C00022,CC(=O)C(=O)O
C00023,[Fe]
C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O
C00025,[C@H](CCC(=O)O)(C(=O)O)N
C00026,C(=O)(CCC(=O)O)C(=O)O
C00027,OO
C00028,
C00029,[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O
C00030,
C00031,[C@H]1([C@H]([C@@H]([C@H](C(O1)O)O)O)O)CO
C00032,c12=CC3=NC(=Cc4n5c(c(c4C)C=C)C=C4N=C(C=c(n1[Fe]5)c(c2CCC(=O)O)C)C(=C4C)C=C)C(=C3CCC(=O)O)C
C00033,C(=O)(C)O
C00034,[Mn]
C00035,n1(c2c(nc1)c(=O)[nH]c(n2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O)O)O
C00036,OC(=O)CC(=O)C(=O)O
C00037,C(=O)(CN)O
C00038,[Zn+2]
C00039,[C@H]1([C@H](C[C@@H](O1)[*])O)COP(=O)(O[C@@H]1[C@H](O[C@H](C1)[*])COP(=O)(O[C@@H]1[C@H](O[C@H](C1)[*])CO)O)O
C00040,[*]C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O
C00041,OC(=O)[C@H](C)N
C00042,OC(=O)CCC(=O)O
C00043,[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)O)O
C00044,n1(c2c(nc1)c(=O)[nH]c(n2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O
C00045,OC(=O)C(N)[*]
C00046,[C@H]1([C@H]([C@H]([C@@H](O1)[*])O)O)COP(=O)(O[C@@H]1[C@H](O[C@H]([C@@H]1O)[*])COP(=O)(O[C@@H]1[C@H](O[C@H]([C@@H]1O)[*])COP(=O)(O)O)O)O
C00047,[C@H](CCCCN)(C(=O)O)N
C00048,C(=O)(C=O)O
C00049,OC(=O)[C@H](CC(=O)O)N
C00050,
C00051,OC(=O)[C@H](CCC(=O)N[C@H](C(=O)NCC(=O)O)CS)N
C00052,C1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO)O)O
C00053,n1([C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(OS(=O)(=O)O)O)OP(=O)(O)O)O)c2c(nc1)c(ncn2)N
