,module,rule_id,step,rxns,reactants,products
0,M00001,0,0,R;0;1;7;8;6,C00267,C00668
1,M00001,0,1,R;0;2;7;4;0,C00668,C05345
2,M00001,0,2,R;0;4;7;7;9,C05345,C05378
3,M00001,0,3,R;0;1;0;7;0,C05378,C00111;C00118
4,M00001,0,4,R;0;1;0;1;5,C00111,C00118
5,M00001,0,5,R;0;1;0;6;1,C00118,C00236
6,M00001,0,6,R;0;1;5;1;2,C00236,C00197
7,M00001,0,7,R;0;7;1;5;9,C00118,C00197
8,M00001,0,8,R;0;1;5;1;8,C00197,C00631
9,M00001,0,9,R;0;0;6;5;8,C00631,C00074
10,M00001,0,10,R;0;0;2;0;0,C00074,C00022
11,M00001,1,0,R;0;1;7;8;6,C00267,C00668
12,M00001,1,1,R;0;2;7;4;0,C00668,C05345
13,M00001,1,2,R;0;4;7;7;9,C05345,C05378
14,M00001,1,3,R;0;1;0;7;0,C05378,C00111;C00118
15,M00001,1,4,R;0;1;0;1;5,C00111,C00118
16,M00001,1,5,R;0;1;0;6;3,C00118,C00236
17,M00001,1,6,R;0;1;5;1;2,C00236,C00197
18,M00001,1,7,R;0;7;1;5;9,C00118,C00197
19,M00001,1,8,R;0;1;5;1;8,C00197,C00631
20,M00001,1,9,R;0;0;6;5;8,C00631,C00074
21,M00001,1,10,R;0;0;2;0;0,C00074,C00022
22,M00001,2,0,R;0;1;7;8;6,C00267,C00668
23,M00001,2,1,R;0;2;7;4;0,C00668,C05345
24,M00001,2,2,R;0;9;0;8;4,C05345,C05378
25,M00001,2,3,R;0;1;0;7;0,C05378,C00111;C00118
26,M00001,2,4,R;0;1;0;1;5,C00111,C00118
27,M00001,2,5,R;0;1;0;6;1,C00118,C00236
28,M00001,2,6,R;0;1;5;1;2,C00236,C00197
29,M00001,2,7,R;0;7;1;5;9,C00118,C00197
30,M00001,2,8,R;0;1;5;1;8,C00197,C00631
31,M00001,2,9,R;0;0;6;5;8,C00631,C00074
32,M00001,2,10,R;0;0;2;0;0,C00074,C00022
33,M00001,3,0,R;0;1;7;8;6,C00267,C00668
34,M00001,3,1,R;0;2;7;4;0,C00668,C05345
35,M00001,3,2,R;0;9;0;8;4,C05345,C05378
36,M00001,3,3,R;0;1;0;7;0,C05378,C00111;C00118
37,M00001,3,4,R;0;1;0;1;5,C00111,C00118
38,M00001,3,5,R;0;1;0;6;3,C00118,C00236
39,M00001,3,6,R;0;1;5;1;2,C00236,C00197
40,M00001,3,7,R;0;7;1;5;9,C00118,C00197
41,M00001,3,8,R;0;1;5;1;8,C00197,C00631
42,M00001,3,9,R;0;0;6;5;8,C00631,C00074
43,M00001,3,10,R;0;0;2;0;0,C00074,C00022
44,M00001,4,0,R;0;2;1;8;9,C00267,C00668
45,M00001,4,1,R;0;2;7;4;0,C00668,C05345
46,M00001,4,2,R;0;4;7;7;9,C05345,C05378
47,M00001,4,3,R;0;1;0;7;0,C05378,C00111;C00118
48,M00001,4,4,R;0;1;0;1;5,C00111,C00118
49,M00001,4,5,R;0;1;0;6;1,C00118,C00236
50,M00001,4,6,R;0;1;5;1;2,C00236,C00197
51,M00001,4,7,R;0;7;1;5;9,C00118,C00197
52,M00001,4,8,R;0;1;5;1;8,C00197,C00631
53,M00001,4,9,R;0;0;6;5;8,C00631,C00074
54,M00001,4,10,R;0;0;2;0;0,C00074,C00022
55,M00001,5,0,R;0;2;1;8;9,C00267,C00668
56,M00001,5,1,R;0;2;7;4;0,C00668,C05345
57,M00001,5,2,R;0;4;7;7;9,C05345,C05378
58,M00001,5,3,R;0;1;0;7;0,C05378,C00111;C00118
59,M00001,5,4,R;0;1;0;1;5,C00111,C00118
60,M00001,5,5,R;0;1;0;6;3,C00118,C00236
61,M00001,5,6,R;0;1;5;1;2,C00236,C00197
62,M00001,5,7,R;0;7;1;5;9,C00118,C00197
63,M00001,5,8,R;0;1;5;1;8,C00197,C00631
64,M00001,5,9,R;0;0;6;5;8,C00631,C00074
65,M00001,5,10,R;0;0;2;0;0,C00074,C00022
66,M00001,6,0,R;0;2;1;8;9,C00267,C00668
67,M00001,6,1,R;0;2;7;4;0,C00668,C05345
68,M00001,6,2,R;0;9;0;8;4,C05345,C05378
69,M00001,6,3,R;0;1;0;7;0,C05378,C00111;C00118
70,M00001,6,4,R;0;1;0;1;5,C00111,C00118
71,M00001,6,5,R;0;1;0;6;1,C00118,C00236
72,M00001,6,6,R;0;1;5;1;2,C00236,C00197
73,M00001,6,7,R;0;7;1;5;9,C00118,C00197
