,Unnamed: 0,reactions,step,module,cofactors,ec
0,0,R01523,C00199 -> C01182,M00165,{'R01523_v1': ['Z00032']},2.7.1.19
1,1,R00024,C01182 + C00011 -> C00197,M00165,{'R00024_v1': ['Z00029']},4.1.1.39
2,2,R01512,C00197 -> C00236,M00165,{'R01512': None},2.7.2.3
3,3,"R01061,R01063",C00236 -> C00118,M00165,"{'R01061': None, 'R01063': None}","1.2.1.12,1.2.1.13,1.2.1.59,1.2.1.59"
4,4,R01068,C00118 -> C00354,M00165,{'R01068_v1': ['Z00054']},4.1.2.13
5,5,R00762,C00354 -> C00085,M00165,"{'R00762_v1': ['Z00029'], 'R00762_v2': ['Z00030']}",3.1.3.11
6,6,R01067,C00085 -> C00279,M00165,{'R01067': None},2.2.1.1
7,7,R01829,C00279 -> C00447,M00165,{'R01829_v1': ['Z00054']},4.1.2.13
8,8,R01845,C00447 -> C05382,M00165,"{'R01845_v1': ['Z00029'], 'R01845_v2': ['Z00030']}","3.1.3.11,3.1.3.37"
9,9,R01641,C05382 -> C00117,M00165,{'R01641': None},2.2.1.1
10,10,R01056,C00117 -> C00199,M00165,{'R01056': None},5.3.1.6
11,0,"R01196,R10866",C00024 -> C00022,M00173,"{'R01196_v1': ['Z00002', 'Z00047', 'Z00029'], 'R10866': None}","1.2.7.1,1.2.7.11"
12,1,"R00199,R00206",C00022 -> C00074,M00173,"{'R00199_v1': ['Z00029'], 'R00199_v2': ['Z00030'], 'R00206_v1': ['Z00029']}","2.7.9.1,2.7.9.2"
13,2,R00345,C00074 -> C00036,M00173,"{'R00345_v1': ['Z00029'], 'R00345_v2': ['Z00030']}",4.1.1.31
14,3,R00344,C00022 -> C00036,M00173,"{'R00344_v1': ['Z00030', 'Z00005'], 'R00344_v2': ['Z00006'], 'R00344_v3': ['Z00005', 'Z00054']}",6.4.1.1
15,4,R00342,C00036 -> C00149,M00173,{'R00342': None},"1.1.1.299,1.1.1.37"
16,5,R01082,C00149 -> C00122,M00173,{'R01082_v1': ['Z00002']},4.2.1.2
17,6,"R02164,R00402",C00122 -> C00042,M00173,"{'R02164_v1': ['Z00019', 'Z00013', 'Z00063'], 'R00402_v1': ['Z00045', 'Z00013']}","1.3.1.6,1.3.5.1"
18,7,R00405,C00042 -> C00091,M00173,{'R00405_v1': ['Z00029']},6.2.1.5
19,8,R01197,C00091 -> C00026,M00173,"{'R01197_v1': ['Z00002', 'Z00029', 'Z00047']}","1.2.7.11,1.2.7.3"
20,9,R00267,C00026 -> C00311,M00173,"{'R00267_v1': ['Z00029'], 'R00267_v2': ['Z00030']}",1.1.1.42
21,10,R01900,C00311 -> C00417,M00173,{'R01900_v1': ['Z00002']},4.2.1.3
22,11,R01325,C00417 -> C00158,M00173,{'R01325_v1': ['Z00002']},4.2.1.3
23,12,R00352,C00158 -> C00024,M00173,{'R00352_v1': ['Z00029']},2.3.3.8
24,13,R01322,C00158 -> C00566,M00173,{'R01322': None},6.2.1.18
25,14,R00354,C00566 -> C00036 + C00024,M00173,{'R00354': None},4.1.3.34
26,0,R01196,C00024 -> C00022,M00374,"{'R01196_v1': ['Z00002', 'Z00047', 'Z00029']}","1.2.7.1,1.2.7.11"
27,1,R00199,C00022 -> C00074,M00374,"{'R00199_v1': ['Z00029'], 'R00199_v2': ['Z00030']}",2.7.9.2
28,2,R00345,C00074 -> C00036,M00374,"{'R00345_v1': ['Z00029'], 'R00345_v2': ['Z00030']}",4.1.1.31
29,3,R00342,C00036 -> C00149,M00374,{'R00342': None},"1.1.1.299,1.1.1.37"
30,4,R01082,C00149 -> C00122,M00374,{'R01082_v1': ['Z00002']},4.2.1.2
31,5,R02164,C00122 -> C00042,M00374,"{'R02164_v1': ['Z00019', 'Z00013', 'Z00063']}",1.3.5.1
32,6,R00405,C00042 -> C00091,M00374,{'R00405_v1': ['Z00029']},6.2.1.5
33,7,R09280,C00091 -> C00232,M00374,{'R09280_v1': ['Z00054']},1.2.1.76
34,8,R09281,C00232 -> C00989,M00374,{'R09281': None},
35,9,R09279,C00989 -> C11062,M00374,{'R09279_v1': ['Z00030']},6.2.1.40
36,10,R10782,C11062 -> C00877,M00374,"{'R10782_v1': ['Z00013', 'Z00063'], 'R10782_v2': ['Z00002', 'Z00013']}",4.2.1.120
37,11,R03026,C00877 -> C01144,M00374,{'R03026_v1': ['Z00032']},4.2.1.17
38,12,R01975,C01144 -> C00332,M00374,{'R01975': None},1.1.1.35
39,13,R00238,C00332 -> C00024,M00374,{'R00238': None},"2.3.1.16,2.3.1.9"
40,0,R00742,C00024 -> C00083,M00375,{'R00742_v1': ['Z00005']},6.4.1.2
41,1,R00740,C00083 -> C00222,M00375,"{'R00740_v1': ['Z00030', 'Z00029']}",1.2.1.75
42,2,R09289,C00222 -> C01013,M00375,{'R09289_v1': ['Z00014']},1.1.1.298
43,3,R09286,C01013 -> C05668,M00375,{'R09286': None},6.2.1.36
44,4,R03045,C05668 -> C00894,M00375,{'R03045_v1': ['Z00032']},"4.2.1.116,4.2.1.17"
45,5,R00919,C00894 -> C00100,M00375,{'R00919_v1': ['Z00054']},1.3.1.84
46,6,R01859,C00100 -> C00683,M00375,{'R01859_v1': ['Z00005']},6.4.1.3
47,7,R02765,C00683 -> C01213,M00375,{'R02765': None},5.1.99.1
48,8,R00833,C01213 -> C00091,M00375,{'R00833_v1': ['Z00009']},5.4.99.2
49,9,R09280,C00091 -> C00232,M00375,{'R09280_v1': ['Z00054']},1.2.1.76
50,10,R09281,C00232 -> C00989,M00375,{'R09281': None},
51,11,R09279,C00989 -> C11062,M00375,{'R09279_v1': ['Z00030']},6.2.1.40
52,12,R10782,C11062 -> C00877,M00375,"{'R10782_v1': ['Z00013', 'Z00063'], 'R10782_v2': ['Z00002', 'Z00013']}",4.2.1.120
53,13,R03026,C00877 -> C01144,M00375,{'R03026_v1': ['Z00032']},4.2.1.17
54,14,R01975,C01144 -> C00332,M00375,{'R01975': None},1.1.1.35
55,15,R00238,C00332 -> C00024,M00375,{'R00238': None},"2.3.1.16,2.3.1.9"
56,0,R00742,C00024 -> C00083,M00376,{'R00742_v1': ['Z00005']},6.4.1.2
57,1,R00740,C00083 -> C00222,M00376,"{'R00740_v1': ['Z00030', 'Z00029']}",1.2.1.75
58,2,R09289,C00222 -> C01013,M00376,{'R09289_v1': ['Z00014']},1.1.1.298
59,3,R09286,C01013 -> C05668,M00376,{'R09286': None},6.2.1.36
60,4,R03045,C05668 -> C00894,M00376,{'R03045_v1': ['Z00032']},"4.2.1.116,4.2.1.17"
61,5,R00919,C00894 -> C00100,M00376,{'R00919_v1': ['Z00054']},1.3.1.84
62,6,R01859,C00100 -> C00683,M00376,{'R01859_v1': ['Z00005']},6.4.1.3
63,7,R02765,C00683 -> C01213,M00376,{'R02765': None},5.1.99.1
64,8,R00833,C01213 -> C00091,M00376,{'R00833_v1': ['Z00009']},5.4.99.2
65,9,R00406,C00091 -> C00042,M00376,{'R00406': None},2.8.3.22
66,10,R02164,C00042 -> C00122,M00376,"{'R02164_v1': ['Z00019', 'Z00013', 'Z00063']}",1.3.5.1
67,11,R01082,C00122 -> C00149,M00376,{'R01082_v1': ['Z00002']},4.2.1.2
68,12,R00406,C00149 -> C04348,M00376,{'R00406': None},2.8.3.22
69,13,R00473,C04348 -> C00024 + C00048,M00376,{'R00473_v1': ['Z00030']},4.1.3.24
70,14,R00934,C00100 -> C06027,M00376,{'R00934_v1': ['Z00030']},4.1.3.24
71,15,R05076,C06027 -> C06028,M00376,{'R05076': None},4.2.1.148
72,16,R09283,C06028 -> C18323,M00376,{'R09283': None},5.4.1.3
73,17,R09282,C18323 -> C01011,M00376,{'R09282': None},4.2.1.153
74,18,R00237,C01011 -> C00024 + C00022,M00376,{'R00237_v1': ['Z00029']},4.1.3.25
