i,n_swapped,n_kinases_to_ATP,n_ligases_to_ATP,swapped,n_compounds,n_reactions,R00200,R01523,R06836,R01053,R04144,R04208,R04463,R04591,R06974,R06975
0,0,0,0,,4315,12534,0,0,0,0,0,0,0,0,0,0
1,1,1,0,R00200,4315,12534,1,0,0,0,0,0,0,0,0,0
2,1,1,0,R01523,4315,12534,0,1,0,0,0,0,0,0,0,0
3,1,1,0,R06836,4315,12534,0,0,1,0,0,0,0,0,0,0
4,1,0,1,R01053,4315,12534,0,0,0,1,0,0,0,0,0,0
5,1,0,1,R04144,437,1257,0,0,0,0,1,0,0,0,0,0
6,1,0,1,R04208,440,1263,0,0,0,0,0,1,0,0,0,0
7,1,0,1,R04463,439,1261,0,0,0,0,0,0,1,0,0,0
8,1,0,1,R04591,443,1269,0,0,0,0,0,0,0,1,0,0
9,1,0,1,R06974,438,1259,0,0,0,0,0,0,0,0,1,0
10,1,0,1,R06975,446,1275,0,0,0,0,0,0,0,0,0,1
11,2,2,0,"R00200,R01523",4315,12534,1,1,0,0,0,0,0,0,0,0
12,2,2,0,"R00200,R06836",4315,12534,1,0,1,0,0,0,0,0,0,0
13,2,1,1,"R00200,R01053",4315,12534,1,0,0,1,0,0,0,0,0,0
14,2,1,1,"R00200,R04144",437,1253,1,0,0,0,1,0,0,0,0,0
15,2,1,1,"R00200,R04208",440,1259,1,0,0,0,0,1,0,0,0,0
16,2,1,1,"R00200,R04463",439,1257,1,0,0,0,0,0,1,0,0,0
17,2,1,1,"R00200,R04591",443,1265,1,0,0,0,0,0,0,1,0,0
18,2,1,1,"R00200,R06974",438,1255,1,0,0,0,0,0,0,0,1,0
19,2,1,1,"R00200,R06975",446,1271,1,0,0,0,0,0,0,0,0,1
20,2,2,0,"R01523,R06836",4315,12534,0,1,1,0,0,0,0,0,0,0
21,2,1,1,"R01523,R01053",4315,12534,0,1,0,1,0,0,0,0,0,0
22,2,1,1,"R01523,R04144",437,1253,0,1,0,0,1,0,0,0,0,0
23,2,1,1,"R01523,R04208",440,1259,0,1,0,0,0,1,0,0,0,0
24,2,1,1,"R01523,R04463",439,1257,0,1,0,0,0,0,1,0,0,0
25,2,1,1,"R01523,R04591",443,1265,0,1,0,0,0,0,0,1,0,0
26,2,1,1,"R01523,R06974",438,1255,0,1,0,0,0,0,0,0,1,0
27,2,1,1,"R01523,R06975",446,1271,0,1,0,0,0,0,0,0,0,1
28,2,1,1,"R06836,R01053",429,1214,0,0,1,1,0,0,0,0,0,0
29,2,1,1,"R06836,R04144",437,1255,0,0,1,0,1,0,0,0,0,0
30,2,1,1,"R06836,R04208",440,1261,0,0,1,0,0,1,0,0,0,0
31,2,1,1,"R06836,R04463",439,1259,0,0,1,0,0,0,1,0,0,0
32,2,1,1,"R06836,R04591",443,1267,0,0,1,0,0,0,0,1,0,0
33,2,1,1,"R06836,R06974",438,1257,0,0,1,0,0,0,0,0,1,0
34,2,1,1,"R06836,R06975",446,1273,0,0,1,0,0,0,0,0,0,1
35,2,0,2,"R01053,R04144",437,1255,0,0,0,1,1,0,0,0,0,0
36,2,0,2,"R01053,R04208",440,1261,0,0,0,1,0,1,0,0,0,0
37,2,0,2,"R01053,R04463",439,1259,0,0,0,1,0,0,1,0,0,0
38,2,0,2,"R01053,R04591",443,1267,0,0,0,1,0,0,0,1,0,0
