,stype,scope_size,expanded
0,simple,4094,True
1,simple,74,False
2,simple,388,False
3,simple,67,False
4,simple,69,False
5,simple,65,False
6,simple,385,False
7,simple,62,False
8,simple,388,False
9,simple,405,False
10,simple,68,False
11,simple,389,False
12,simple,65,False
13,simple,389,False
14,simple,385,False
15,simple,57,False
16,simple,390,False
17,simple,72,False
18,simple,60,False
19,simple,378,False
20,simple,84,False
21,simple,388,False
22,simple,396,False
23,simple,83,False
24,simple,64,False
25,simple,387,False
26,simple,387,False
27,simple,70,False
28,simple,64,False
29,simple,63,False
30,simple,381,False
31,simple,61,False
32,simple,62,False
33,simple,389,False
34,simple,76,False
35,simple,386,False
36,simple,62,False
37,simple,61,False
38,simple,402,False
39,simple,63,False
40,simple,61,False
41,simple,65,False
42,simple,389,False
43,simple,65,False
44,simple,383,False
45,simple,378,False
46,simple,63,False
47,simple,66,False
48,simple,81,False
49,simple,60,False
50,simple,66,False
51,simple,4136,True
52,simple,390,False
53,simple,378,False
54,simple,76,False
55,simple,388,False
56,simple,383,False
57,simple,59,False
58,simple,384,False
59,simple,4098,True
60,simple,80,False
61,simple,377,False
62,simple,63,False
63,simple,64,False
64,simple,386,False
65,simple,390,False
66,simple,68,False
67,simple,69,False
68,simple,60,False
69,simple,386,False
70,simple,382,False
71,simple,393,False
72,simple,381,False
73,simple,66,False
74,simple,392,False
75,simple,392,False
76,simple,386,False
77,simple,65,False
78,simple,66,False
79,simple,66,False
80,simple,62,False
81,simple,69,False
82,simple,69,False
83,simple,381,False
84,simple,380,False
85,simple,58,False
86,simple,58,False
87,simple,66,False
88,simple,67,False
89,simple,4102,True
90,simple,58,False
91,simple,62,False
92,simple,67,False
93,simple,382,False
94,simple,380,False
95,simple,64,False
96,simple,70,False
97,simple,80,False
98,simple,68,False
99,simple,61,False
100,simple,70,False
101,simple,59,False
102,simple,61,False
103,simple,69,False
104,simple,399,False
105,simple,68,False
106,simple,379,False
107,simple,391,False
108,simple,69,False
109,simple,69,False
110,simple,75,False
111,simple,383,False
112,simple,4100,True
113,simple,66,False
114,simple,385,False
115,simple,65,False
116,simple,381,False
117,simple,383,False
118,simple,62,False
119,simple,393,False
120,simple,387,False
121,simple,71,False
122,simple,80,False
123,simple,85,False
124,simple,383,False
125,simple,65,False
126,simple,387,False
127,simple,4115,True
128,simple,77,False
129,simple,386,False
130,simple,61,False
131,simple,397,False
132,simple,64,False
133,simple,65,False
134,simple,61,False
135,simple,84,False
136,simple,68,False
137,simple,67,False
138,simple,393,False
139,simple,67,False
140,simple,69,False
141,simple,384,False
142,simple,387,False
143,simple,391,False
144,simple,64,False
145,simple,65,False
146,simple,70,False
147,simple,75,False
148,simple,66,False
149,simple,395,False
150,simple,70,False
151,simple,383,False
152,simple,384,False
153,simple,64,False
154,simple,391,False
155,simple,392,False
156,simple,65,False
157,simple,65,False
158,simple,383,False
159,simple,391,False
160,simple,378,False
161,simple,59,False
162,simple,391,False
163,simple,392,False
164,simple,66,False
165,simple,58,False
166,simple,89,False
167,simple,384,False
168,simple,380,False
169,simple,385,False
170,simple,384,False
171,simple,397,False
172,simple,381,False
173,simple,85,False
174,simple,69,False
175,simple,382,False
176,simple,66,False
177,simple,385,False
178,simple,385,False
179,simple,62,False
180,simple,387,False
181,simple,62,False
182,simple,382,False
183,simple,4096,True
184,simple,387,False
185,simple,61,False
186,simple,380,False
187,simple,390,False
188,simple,400,False
189,simple,386,False
190,simple,62,False
191,simple,391,False
192,simple,388,False
193,simple,385,False
194,simple,63,False
195,simple,70,False
196,simple,65,False
197,simple,60,False
198,simple,388,False
199,simple,382,False
200,simple,62,False
201,simple,60,False
202,simple,383,False
203,simple,65,False
204,simple,78,False
205,simple,389,False
206,simple,386,False
207,simple,385,False
208,simple,68,False
209,simple,67,False
