,module,iteration,sample
0,M00165,37,0
1,M00173,49,0
2,ReductiveGlycineModule,58,0
3,M00377,59,0
4,M00374,67,0
5,M00375,71,0
6,M00376,71,0
0,M00165,37,1
1,M00173,49,1
2,ReductiveGlycineModule,58,1
3,M00377,59,1
4,M00374,67,1
5,M00375,71,1
6,M00376,71,1
0,M00165,37,2
1,M00173,49,2
2,ReductiveGlycineModule,58,2
3,M00377,59,2
4,M00374,67,2
5,M00375,71,2
6,M00376,71,2
0,M00165,37,3
1,M00173,37,3
2,M00377,47,3
3,ReductiveGlycineModule,47,3
4,M00374,53,3
5,M00375,57,3
6,M00376,57,3
0,M00165,37,4
1,M00173,49,4
2,ReductiveGlycineModule,58,4
3,M00377,59,4
4,M00374,67,4
5,M00375,71,4
6,M00376,71,4
0,M00165,28,5
1,M00173,48,5
2,ReductiveGlycineModule,57,5
3,M00377,58,5
4,M00374,66,5
5,M00375,70,5
6,M00376,70,5
0,M00165,37,6
1,M00173,49,6
2,ReductiveGlycineModule,58,6
3,M00377,59,6
4,M00374,67,6
5,M00375,71,6
6,M00376,71,6
0,M00165,37,7
1,M00173,49,7
2,ReductiveGlycineModule,58,7
3,M00377,59,7
4,M00374,67,7
5,M00375,71,7
6,M00376,71,7
0,M00165,37,8
1,M00173,49,8
2,ReductiveGlycineModule,58,8
3,M00377,59,8
4,M00374,67,8
5,M00375,71,8
6,M00376,71,8
0,M00165,28,9
1,M00173,48,9
2,ReductiveGlycineModule,57,9
3,M00377,58,9
4,M00374,66,9
5,M00375,70,9
6,M00376,70,9
0,M00165,37,10
1,M00173,49,10
2,ReductiveGlycineModule,58,10
3,M00377,59,10
4,M00374,67,10
5,M00375,71,10
6,M00376,71,10
0,M00165,28,11
1,M00173,48,11
2,ReductiveGlycineModule,57,11
3,M00377,58,11
4,M00374,66,11
5,M00375,70,11
6,M00376,70,11
0,M00165,37,12
1,M00173,49,12
2,ReductiveGlycineModule,58,12
3,M00377,59,12
4,M00374,67,12
5,M00375,71,12
6,M00376,71,12
0,M00165,37,13
1,M00173,49,13
2,ReductiveGlycineModule,58,13
3,M00377,59,13
4,M00374,63,13
5,M00375,71,13
6,M00376,71,13
0,M00165,28,14
1,M00173,48,14
2,ReductiveGlycineModule,57,14
3,M00377,58,14
4,M00374,66,14
5,M00375,70,14
6,M00376,70,14
0,M00165,28,15
1,M00173,48,15
2,ReductiveGlycineModule,57,15
3,M00377,58,15
4,M00374,66,15
5,M00375,70,15
6,M00376,70,15
0,M00165,28,16
1,M00173,48,16
2,ReductiveGlycineModule,57,16
3,M00377,58,16
4,M00374,66,16
5,M00375,70,16
6,M00376,70,16
0,M00165,37,17
1,M00173,49,17
2,ReductiveGlycineModule,58,17
3,M00377,59,17
4,M00374,67,17
5,M00375,71,17
6,M00376,71,17
0,M00165,37,18
1,M00173,49,18
2,ReductiveGlycineModule,58,18
3,M00377,59,18
4,M00374,67,18
5,M00375,71,18
6,M00376,71,18
0,M00165,28,19
1,M00173,48,19
2,ReductiveGlycineModule,57,19
3,M00377,58,19
4,M00374,66,19
5,M00375,70,19
6,M00376,70,19
0,M00165,37,20
1,M00173,38,20
2,ReductiveGlycineModule,47,20
3,M00377,48,20
4,M00374,56,20
5,M00375,60,20
6,M00376,60,20
0,M00165,28,21
1,M00173,48,21
2,ReductiveGlycineModule,57,21
3,M00377,58,21
4,M00374,66,21
5,M00375,70,21
6,M00376,70,21
0,M00165,28,22
1,M00173,48,22
2,ReductiveGlycineModule,57,22
3,M00377,58,22
4,M00374,65,22
5,M00375,70,22
6,M00376,70,22
0,M00165,37,23
1,M00173,37,23
2,M00377,47,23
3,ReductiveGlycineModule,47,23
4,M00374,55,23
5,M00375,59,23
6,M00376,59,23
0,M00165,28,24
1,M00173,48,24
2,ReductiveGlycineModule,57,24
3,M00377,58,24
4,M00374,66,24
5,M00375,70,24
6,M00376,70,24
0,M00165,37,25
1,M00173,49,25
2,ReductiveGlycineModule,58,25
3,M00377,59,25
4,M00374,66,25
5,M00375,71,25
6,M00376,71,25
0,M00165,37,26
1,M00173,49,26
2,ReductiveGlycineModule,58,26
3,M00377,59,26
4,M00374,67,26
5,M00375,71,26
6,M00376,71,26
0,M00165,28,27
1,M00173,48,27
2,ReductiveGlycineModule,57,27
3,M00377,58,27
4,M00374,66,27
5,M00375,70,27
6,M00376,70,27
0,M00165,37,28
1,M00173,49,28
