,cid,scope_c,scope_r
0,C01010,437,1215
1,C00044,483,1411
2,C01261,483,1411
3,C00192,431,1204
4,C00003,4315,12506
5,C00004,4315,12506
6,C01818,430,1202
7,C18091,430,1202
8,C00007,446,1231
9,C01847,431,1209
10,C00088,432,1205
11,C00061,436,1222
12,C00492,442,1258
13,C08242,442,1258
14,C04546,431,1203
15,C01089,430,1202
16,C01158,431,1204
17,C04101,431,1204
18,C01572,431,1203
19,C01424,430,1202
20,C02868,432,1205
21,C01839,431,1204
22,C00294,4315,12506
23,C01993,430,1202
24,C01910,431,1203
25,C02171,430,1202
26,C01255,434,1210
27,C02378,434,1210
28,C00495,430,1202
29,C03036,430,1202
30,C03040,430,1202
31,C03374,439,1214
32,C00486,430,1202
33,C05787,437,1212
34,C01175,432,1206
35,C04275,432,1206
36,C05791,431,1204
37,C05795,430,1202
38,C00019,4315,12506
39,C00170,4315,12506
40,C05324,431,1204
41,C02307,431,1203
42,C02308,430,1202
43,C00002,4315,12506
44,C00081,4315,12506
45,C00010,4315,12506
46,C02015,430,1202
47,C00541,432,1210
48,C00992,432,1210
49,C00853,431,1207
50,C00153,437,1241
51,C00301,4315,12506
52,C00027,435,1212
53,C00005,4315,12506
54,C00006,4315,12506
55,C00253,437,1241
56,C13051,4315,12506
57,C00008,4315,12506
58,C00104,4315,12506
59,C01260,4315,12506
60,C00020,4315,12506
61,C03483,4315,12506
62,C00882,4315,12506
63,C00536,431,1208
64,C11038,430,1202
65,C03997,430,1202
66,C00169,434,1213
67,C01326,432,1208
68,C00075,475,1454
69,C00015,475,1454
70,C00263,430,1202
71,C02926,430,1202
72,C00147,4315,12506
73,C00857,4315,12506
74,C00021,4315,12506
75,C00212,4315,12506
76,C03539,431,1204
77,C01070,432,1206
78,C01071,432,1206
79,C00024,4315,12506
80,C00083,4315,12506
81,C00332,4315,12506
82,C01165,446,1241
83,C00624,430,1202
84,C00091,4315,12506
85,C05572,430,1203
86,C00029,475,1454
87,C00167,484,1471
88,C00718,430,1209
89,C03196,430,1203
90,C03107,430,1202
91,C02191,481,1305
92,C00032,481,1305
93,C05783,431,1203
94,C05784,430,1202
95,C05785,430,1202
96,C05993,4316,12511
97,C02132,430,1204
98,C02655,430,1203
99,C00144,483,1411
100,C00035,483,1411
101,C00201,435,1231
102,C00454,435,1231
103,C01329,430,1202
