,cid,Scope after removal
0,C03248,4314
1,C05684,4311
2,C20485,4314
3,C01444,4314
4,Z00026,4286
5,C01353,4311
6,C02218,4314
7,C00049,417
8,C01563,4314
9,C00898,4314
10,Z00043,4314
11,C19813,4314
12,C05167,4314
13,C06244,4314
14,C04115,4314
15,C02107,4314
16,C00074,138
17,C00013,427
18,C00158,4303
19,C00940,4258
20,C00490,4313
21,C02614,4314
22,C03961,4314
23,C05379,4314
24,C00084,4244
25,C01990,4314
26,C06033,4314
27,C06029,4314
28,C02362,4314
29,C01883,4314
30,C03981,4314
31,Z00039,4312
32,C02341,4312
33,C05946,4314
34,C01417,4314
35,C01384,4314
36,C03600,4314
37,Z00042,4313
38,C00375,4314
39,C00037,387
40,C00099,1888
41,C00552,4313
42,C02798,4285
43,C00227,4314
44,C01596,4313
45,C04324,4314
46,C05364,4314
47,C00186,4314
48,C00631,140
49,C02512,4313
50,C21632,4314
51,C04434,4314
52,C01042,4312
53,C00222,4308
54,C02612,4314
55,C00152,3114
56,C05840,4314
57,C00497,4313
58,C06035,4314
59,C03548,4314
60,C20253,4314
61,C07272,4314
62,C19779,4314
63,C00197,143
64,C03722,547
65,C01159,4314
66,C00258,4311
67,C00804,4312
68,C05669,4313
69,C05670,4313
70,C18232,4314
71,C00256,4312
72,C19838,4314
73,C01073,4314
74,C02226,4313
75,C06032,4314
76,C06031,4314
77,C01182,4313
78,C00354,174
79,C00118,300
80,C01151,4314
81,C00199,1345
82,C00085,4312
83,C00111,272
84,C06019,4314
85,C00673,4313
86,C00117,304
87,C00231,4312
88,C00184,4314
89,C15556,1347
90,C20954,4305
91,C00546,4311
92,C21610,4314
93,C00092,4251
94,C00352,4314
95,C03785,4314
96,C00119,542
97,C05378,4314
98,C00275,4312
99,C01112,4314
100,C01097,4310
101,C21611,4312
102,C06893,4312
103,C22280,4314
104,C20440,4314
105,C01286,4314
106,C04442,4314
107,C00672,4303
108,C22318,4314
109,C06156,4314
110,C20986,4314
111,C00663,4311
112,C00031,4280
113,C00018,308
114,C01101,4314
115,C05345,4302
116,C04478,4314
117,C00067,1541
118,C00620,4313
119,C00357,4314
120,C06377,4313
121,C01113,4312
122,C00636,4310
123,C00103,4302
124,C21383,4313
125,C01185,548
126,C03090,436
127,C16848,4312
128,C01172,4313
129,C01187,4312
130,C03291,4314
131,C20236,4313
132,C01518,4314
133,C02591,4314
134,C15548,4314
135,C01083,4311
136,C00963,4314
137,C22029,4314
138,C02048,4314
139,C03838,437
140,C05841,4314
141,C02306,4314
142,C18096,4312
143,C00267,4314
144,C20934,4314
145,C16698,4314
146,C01231,4314
147,C00250,4308
148,C00208,4310
149,C00095,4310
150,C03394,4304
151,C00185,4306
152,C04534,4314
153,C03847,4314
154,C00455,4314
155,C00689,4314
156,C04501,4314
157,C00668,4314
